Gene	Cytoband	(A) BLACK OR AFRICAN AMERICAN	(B) WHITE	(A) BLACK OR AFRICAN AMERICAN	(B) WHITE	Log Ratio	p-Value	q-Value	Higher expression in
PSIP1	9p22.3	10.20	10.09	0.91	0.83	0.11	0.288	0.395	(A) BLACK OR AFRICAN AMERICAN
LRP12	8q22.3	7.96	8.11	1.31	1.00	-0.15	0.289	0.395	(B) WHITE
TP53AIP1	11q24.3	2.71	2.91	1.63	1.48	-0.19	0.289	0.395	(B) WHITE
GLRA2	Xp22.2	0.41	0.30	0.96	0.88	0.11	0.289	0.395	(A) BLACK OR AFRICAN AMERICAN
RPS6KA3	Xp22.12	9.37	9.50	1.07	0.93	-0.13	0.289	0.395	(B) WHITE
MCHR1	22q13.2	3.83	3.63	1.68	1.60	0.20	0.289	0.395	(A) BLACK OR AFRICAN AMERICAN
PCCB	3q22.3	10.40	10.46	0.49	0.45	-0.06	0.289	0.395	(B) WHITE
DOLPP1	9q34.11	8.75	8.81	0.52	0.49	-0.06	0.289	0.395	(B) WHITE
SFTPD	10q22.3	3.79	3.59	1.64	1.39	0.19	0.289	0.396	(A) BLACK OR AFRICAN AMERICAN
OOEP	6q13	0.77	0.61	1.33	1.11	0.16	0.289	0.396	(A) BLACK OR AFRICAN AMERICAN
LINC01205	3q13.13	0.09	0.05	0.32	0.30	0.04	0.289	0.396	(A) BLACK OR AFRICAN AMERICAN
SPAST	2p22.3	9.15	9.22	0.51	0.46	-0.06	0.289	0.396	(B) WHITE
ATP6V0D2	8q21.3	3.94	4.12	1.51	1.80	-0.19	0.290	0.396	(B) WHITE
OPRD1	1p35.3	0.87	1.01	1.20	1.34	-0.15	0.290	0.396	(B) WHITE
TBL1Y	Yp11.2	0.02	0.03	0.09	0.23	-0.01	0.290	0.397	(B) WHITE
KCNA5	12p13.32	2.65	2.83	1.50	1.14	-0.17	0.290	0.397	(B) WHITE
ZNF202	11q24.1	7.80	7.86	0.52	0.51	-0.06	0.290	0.397	(B) WHITE
MRPL1	4q21.1	8.45	8.38	0.58	0.50	0.07	0.290	0.397	(A) BLACK OR AFRICAN AMERICAN
GJA3	13q12.11	2.45	2.29	1.33	1.35	0.16	0.290	0.397	(A) BLACK OR AFRICAN AMERICAN
PRICKLE4	6p21.1	5.48	5.67	1.57	1.38	-0.19	0.291	0.397	(B) WHITE
BATF2	11q13.1	6.58	6.37	1.79	1.56	0.21	0.291	0.397	(A) BLACK OR AFRICAN AMERICAN
SNORA23	11p15.4	0.32	0.38	0.48	0.59	-0.06	0.291	0.397	(B) WHITE
RNF165	18q21.1	5.03	5.21	1.55	1.51	-0.18	0.291	0.398	(B) WHITE
ATP1A1	1p13.1	13.65	13.73	0.74	0.62	-0.09	0.291	0.398	(B) WHITE
ZNF177	19p13.2	5.78	5.93	1.31	1.08	-0.15	0.291	0.398	(B) WHITE
PLEKHG4B	5p15.33	7.64	7.37	2.21	2.05	0.26	0.292	0.398	(A) BLACK OR AFRICAN AMERICAN
ARL2BP	16q13	10.34	10.40	0.49	0.43	-0.06	0.292	0.398	(B) WHITE
NKX2-2	20p11.22	1.82	1.51	2.67	2.37	0.32	0.292	0.398	(A) BLACK OR AFRICAN AMERICAN
CELF3	1q21.3	1.16	1.37	1.69	1.78	-0.20	0.292	0.399	(B) WHITE
ATRIP	3p21.31	8.35	8.43	0.70	0.62	-0.08	0.292	0.399	(B) WHITE
SEMA4D	9q22.2	9.47	9.37	0.81	0.62	0.09	0.292	0.399	(A) BLACK OR AFRICAN AMERICAN
RPS25	11q23.3	12.78	12.69	0.74	0.67	0.09	0.292	0.399	(A) BLACK OR AFRICAN AMERICAN
HIBCH	2q32.2	8.83	8.90	0.62	0.51	-0.07	0.292	0.399	(B) WHITE
GMNC	3q28	0.31	0.22	0.82	0.48	0.09	0.292	0.399	(A) BLACK OR AFRICAN AMERICAN
FAM223B	Xq28	2.15	2.05	0.91	0.74	0.11	0.292	0.399	(A) BLACK OR AFRICAN AMERICAN
FAM133B	7q21.2	6.73	6.80	0.55	0.43	-0.06	0.293	0.399	(B) WHITE
SYCN	19q13.2	0.03	0.01	0.11	0.11	0.01	0.293	0.400	(A) BLACK OR AFRICAN AMERICAN
OR2J3	6p22.1	0.07	0.03	0.38	0.15	0.04	0.293	0.400	(A) BLACK OR AFRICAN AMERICAN
LIPI	21q11.2	0.57	0.46	0.94	0.65	0.11	0.293	0.400	(A) BLACK OR AFRICAN AMERICAN
ZNF839	14q32.31	8.17	8.23	0.57	0.55	-0.07	0.293	0.400	(B) WHITE
AIDA	1q41	10.28	10.34	0.55	0.48	-0.07	0.293	0.400	(B) WHITE
MRPL45	17q12	9.77	9.86	0.73	0.67	-0.09	0.293	0.400	(B) WHITE
MINDY4	7p14.3	6.99	7.12	1.14	1.12	-0.14	0.293	0.400	(B) WHITE
SLC22A25	11q12.3	0.36	0.45	0.75	0.77	-0.09	0.293	0.400	(B) WHITE
USP29	19q13.43	0.02	0.03	0.09	0.18	-0.01	0.294	0.401	(B) WHITE
LEFTY1	1q42.12	2.79	2.60	1.68	1.23	0.19	0.294	0.401	(A) BLACK OR AFRICAN AMERICAN
WRB	21q22.2	9.16	9.23	0.62	0.53	-0.07	0.294	0.401	(B) WHITE
PYCARD	16p11.2	9.38	9.22	1.38	1.33	0.16	0.294	0.401	(A) BLACK OR AFRICAN AMERICAN
ANXA5	4q27	12.69	12.62	0.52	0.51	0.06	0.294	0.401	(A) BLACK OR AFRICAN AMERICAN
FAM222B	17q11.2	9.71	9.78	0.63	0.56	-0.07	0.294	0.401	(B) WHITE
CPN2	3q29	2.36	2.53	1.47	1.41	-0.17	0.294	0.401	(B) WHITE
ZNF710	15q26.1	7.97	8.07	0.84	0.62	-0.10	0.294	0.401	(B) WHITE
ICA1L	2q33.2	6.22	6.36	1.18	1.15	-0.14	0.294	0.401	(B) WHITE
TRIP4	15q22.31	9.12	9.17	0.41	0.37	-0.05	0.294	0.401	(B) WHITE
SPCS2P4	1p35.3	10.75	10.82	0.64	0.60	-0.08	0.294	0.401	(B) WHITE
SLC51A	3q29	4.22	4.41	1.63	1.29	-0.19	0.294	0.401	(B) WHITE
IL36A	2q14.1	0.03	0.05	0.14	0.27	-0.02	0.294	0.401	(B) WHITE
C1RL	12p13.31	9.77	9.86	0.83	0.66	-0.10	0.294	0.402	(B) WHITE
ACKR1	1q23.2	7.16	7.50	2.88	2.61	-0.34	0.295	0.402	(B) WHITE
PHKA1	Xq13.1	8.95	9.05	0.76	0.76	-0.09	0.295	0.402	(B) WHITE
CRX	19q13.33	0.11	0.08	0.26	0.25	0.03	0.295	0.402	(A) BLACK OR AFRICAN AMERICAN
RAB40C	16p13.3	9.53	9.44	0.78	0.68	0.09	0.295	0.402	(A) BLACK OR AFRICAN AMERICAN
STEAP1B	7p15.3	3.80	3.66	1.22	1.08	0.14	0.295	0.402	(A) BLACK OR AFRICAN AMERICAN
TPM3	1q21.3	13.46	13.40	0.52	0.48	0.06	0.295	0.402	(A) BLACK OR AFRICAN AMERICAN
CDC37L1	9p24.1	8.55	8.62	0.55	0.49	-0.06	0.295	0.402	(B) WHITE
KRTAP5-11	11q13.4	0.12	0.07	0.38	0.37	0.05	0.295	0.403	(A) BLACK OR AFRICAN AMERICAN
KRTAP10-5	21q22.3	0.04	0.01	0.27	0.11	0.03	0.295	0.403	(A) BLACK OR AFRICAN AMERICAN
AGK	7q34	9.25	9.19	0.56	0.42	0.07	0.296	0.403	(A) BLACK OR AFRICAN AMERICAN
UNC5D	8p12	0.79	0.61	1.57	1.21	0.18	0.296	0.403	(A) BLACK OR AFRICAN AMERICAN
IGFL2	19q13.32	3.72	3.49	1.99	1.93	0.24	0.296	0.403	(A) BLACK OR AFRICAN AMERICAN
PLEKHG1	6q25.1	8.67	8.52	1.27	1.04	0.15	0.296	0.403	(A) BLACK OR AFRICAN AMERICAN
C12ORF50	12q21.32	0.24	0.19	0.43	0.34	0.05	0.296	0.403	(A) BLACK OR AFRICAN AMERICAN
RAB42	1p35.3	5.04	4.92	1.02	0.97	0.12	0.296	0.403	(A) BLACK OR AFRICAN AMERICAN
SETD1B	12q24.31	9.85	9.90	0.45	0.41	-0.05	0.296	0.403	(B) WHITE
SF3B3	16q22.1	11.84	11.77	0.61	0.61	0.07	0.296	0.403	(A) BLACK OR AFRICAN AMERICAN
PRPF40B	12q13.12	8.47	8.37	0.88	0.67	0.10	0.296	0.403	(A) BLACK OR AFRICAN AMERICAN
PSG5	19q13.31	0.85	0.98	1.11	1.32	-0.14	0.296	0.403	(B) WHITE
CPNE9	3p25.3	1.38	1.24	1.17	0.99	0.14	0.296	0.404	(A) BLACK OR AFRICAN AMERICAN
OR11H6	14q11.2	0.01	0.02	0.06	0.12	-0.01	0.296	0.404	(B) WHITE
CREB3L2	7q33	11.17	11.28	0.91	0.79	-0.11	0.296	0.404	(B) WHITE
APOBEC3G	22q13.1	7.94	7.79	1.32	1.17	0.15	0.297	0.404	(A) BLACK OR AFRICAN AMERICAN
C1ORF74	1q32.2	6.99	7.08	0.73	0.65	-0.09	0.297	0.404	(B) WHITE
PAF1	19q13.2	10.59	10.52	0.53	0.51	0.06	0.297	0.404	(A) BLACK OR AFRICAN AMERICAN
KCNA3	1p13.3	3.98	4.20	1.90	1.62	-0.22	0.297	0.404	(B) WHITE
CD101	1p13.1	5.27	5.15	1.04	0.88	0.12	0.297	0.404	(A) BLACK OR AFRICAN AMERICAN
CRISP2	6p12.3	0.96	0.77	1.66	1.50	0.19	0.297	0.404	(A) BLACK OR AFRICAN AMERICAN
C20ORF144	20q11.22	0.22	0.18	0.34	0.31	0.04	0.297	0.404	(A) BLACK OR AFRICAN AMERICAN
LAPTM5	1p35.2	11.96	11.84	0.95	0.94	0.11	0.297	0.404	(A) BLACK OR AFRICAN AMERICAN
C1ORF43	1q21.3	12.62	12.67	0.47	0.47	-0.06	0.297	0.404	(B) WHITE
ADAMTS7	15q25.1	7.34	7.19	1.27	1.06	0.15	0.297	0.404	(A) BLACK OR AFRICAN AMERICAN
TUBA3E	2q21.1	3.43	3.78	3.04	2.42	-0.35	0.297	0.404	(B) WHITE
CDC5L	6p21.1	10.18	10.25	0.58	0.48	-0.07	0.297	0.404	(B) WHITE
AEBP1	7p13	13.29	13.45	1.35	1.27	-0.16	0.297	0.405	(B) WHITE
TTLL8	22q13.33	0.06	0.04	0.21	0.29	0.03	0.298	0.405	(A) BLACK OR AFRICAN AMERICAN
GP6	19q13.42	2.20	2.04	1.35	1.17	0.16	0.298	0.405	(A) BLACK OR AFRICAN AMERICAN
SERPINB6	6p25.2	10.84	10.93	0.76	0.66	-0.09	0.298	0.405	(B) WHITE
ARSE	Xp22.33	5.09	4.89	1.62	1.57	0.19	0.298	0.405	(A) BLACK OR AFRICAN AMERICAN
NHEG1	6q23.3	0.10	0.15	0.45	0.43	-0.05	0.298	0.405	(B) WHITE
METTL21EP	13q33.1	0.89	0.99	0.84	0.74	-0.10	0.298	0.405	(B) WHITE
FAM228B	2p23.3	6.08	5.97	0.98	0.82	0.11	0.298	0.405	(A) BLACK OR AFRICAN AMERICAN
HCG4B	6p22.1	2.17	2.31	1.21	1.06	-0.14	0.298	0.405	(B) WHITE
TP53TG5	20q13.12	0.30	0.37	0.54	0.61	-0.06	0.298	0.405	(B) WHITE
LGALS14	19q13.2	0.53	0.42	0.99	0.80	0.11	0.298	0.405	(A) BLACK OR AFRICAN AMERICAN
SLCO1B7	12p12.2	0.57	0.38	1.73	1.19	0.20	0.298	0.405	(A) BLACK OR AFRICAN AMERICAN
SNORA16A	1p35.3	0.02	0.04	0.10	0.17	-0.01	0.298	0.405	(B) WHITE
RGS3	9q32	9.99	9.92	0.55	0.53	0.06	0.298	0.405	(A) BLACK OR AFRICAN AMERICAN
FPR1	19q13.41	6.30	6.46	1.39	1.21	-0.16	0.298	0.406	(B) WHITE
SNORA5A	7p13	0.15	0.11	0.29	0.27	0.03	0.298	0.406	(A) BLACK OR AFRICAN AMERICAN
RNF217	6q22.31	5.54	5.69	1.36	1.18	-0.16	0.299	0.406	(B) WHITE
RPS3A	4q31.3	12.20	12.28	0.64	0.58	-0.07	0.299	0.406	(B) WHITE
OR2T11	1q44	0.01	0.00	0.09	0.06	0.01	0.299	0.406	(A) BLACK OR AFRICAN AMERICAN
C1S	12p13.31	12.57	12.41	1.34	1.34	0.16	0.299	0.406	(A) BLACK OR AFRICAN AMERICAN
ALDH1A3	15q26.3	8.48	8.66	1.52	1.48	-0.18	0.299	0.406	(B) WHITE
TNMD	Xq22.1	2.12	2.34	1.80	1.96	-0.22	0.299	0.406	(B) WHITE
CYP39A1	6p12.3	5.19	4.94	2.17	1.93	0.25	0.299	0.406	(A) BLACK OR AFRICAN AMERICAN
TOMM7	7p15.3	10.70	10.62	0.70	0.62	0.08	0.299	0.406	(A) BLACK OR AFRICAN AMERICAN
OR2D2	11p15.4	0.02	0.03	0.11	0.14	-0.01	0.299	0.406	(B) WHITE
PAK1	11q13.5-q14.1	10.53	10.63	0.82	0.99	-0.10	0.299	0.406	(B) WHITE
USP43	17p13.1	7.19	7.07	1.10	0.89	0.13	0.299	0.406	(A) BLACK OR AFRICAN AMERICAN
GABRA4	4p12	0.46	0.35	1.02	0.70	0.12	0.299	0.406	(A) BLACK OR AFRICAN AMERICAN
SPIRE1	18p11.21	9.58	9.68	0.91	0.71	-0.10	0.300	0.407	(B) WHITE
ST7-OT4	7q31.2	0.71	0.79	0.65	0.64	-0.08	0.300	0.407	(B) WHITE
GRIN3A	9q31.1	4.23	4.35	1.04	0.79	-0.12	0.300	0.407	(B) WHITE
TENM3-AS1	4q34.3	3.17	3.37	1.74	1.53	-0.20	0.300	0.408	(B) WHITE
ZNF438	10p11.23	7.71	7.65	0.57	0.53	0.07	0.300	0.408	(A) BLACK OR AFRICAN AMERICAN
FKBP9	7p14.3	11.52	11.60	0.69	0.55	-0.08	0.301	0.408	(B) WHITE
RTN4RL2	11q12.1	5.28	5.43	1.28	1.08	-0.15	0.301	0.408	(B) WHITE
TSSK3	1p35.1	4.28	4.15	1.06	0.98	0.12	0.301	0.409	(A) BLACK OR AFRICAN AMERICAN
GSDME	7p15.3	7.12	7.22	0.88	0.79	-0.10	0.301	0.409	(B) WHITE
UFC1	1q23.3	11.57	11.51	0.56	0.56	0.07	0.301	0.409	(A) BLACK OR AFRICAN AMERICAN
METTL22	16p13.2	7.40	7.34	0.48	0.47	0.06	0.301	0.409	(A) BLACK OR AFRICAN AMERICAN
WDR73	15q25.2	8.42	8.49	0.59	0.53	-0.07	0.301	0.409	(B) WHITE
VEGFA	6p21.1	10.93	10.83	0.86	0.90	0.10	0.301	0.409	(A) BLACK OR AFRICAN AMERICAN
NGFR	17q21.33	7.06	7.30	2.01	2.05	-0.24	0.302	0.409	(B) WHITE
PRKAA1	5p13.1	9.99	10.09	0.83	0.78	-0.10	0.302	0.409	(B) WHITE
HES5	1p36.32	1.29	1.17	1.06	0.88	0.12	0.302	0.410	(A) BLACK OR AFRICAN AMERICAN
TRA2A	7p15.3	10.30	10.36	0.49	0.41	-0.06	0.302	0.410	(B) WHITE
SEZ6L2	16p11.2	9.62	9.84	1.89	1.84	-0.22	0.302	0.410	(B) WHITE
SNRNP25	16p13.3	9.52	9.44	0.74	0.69	0.09	0.302	0.410	(A) BLACK OR AFRICAN AMERICAN
KCNH4	17q21.2	1.55	1.45	0.92	0.93	0.11	0.303	0.410	(A) BLACK OR AFRICAN AMERICAN
TAAR1	6q23.2	0.03	0.06	0.14	0.36	-0.02	0.303	0.411	(B) WHITE
GYG2	Xp22.33	7.85	7.69	1.34	1.52	0.16	0.303	0.411	(A) BLACK OR AFRICAN AMERICAN
DLL1	6q27	6.54	6.69	1.33	1.10	-0.15	0.303	0.411	(B) WHITE
CYP3A4	7q22.1	0.44	0.52	0.61	0.64	-0.07	0.303	0.411	(B) WHITE
MPP1	Xq28	8.49	8.40	0.74	0.75	0.09	0.303	0.411	(A) BLACK OR AFRICAN AMERICAN
ANG	14q11.2	7.79	7.93	1.15	1.05	-0.13	0.303	0.411	(B) WHITE
TGM6	20p13	0.01	0.01	0.07	0.07	0.01	0.303	0.411	(A) BLACK OR AFRICAN AMERICAN
ACAT2	6q25.3	9.02	8.91	1.00	0.78	0.11	0.303	0.411	(A) BLACK OR AFRICAN AMERICAN
SDK1	7p22.2	7.14	7.34	1.74	1.49	-0.20	0.303	0.411	(B) WHITE
POLL	10q24.32	8.90	8.82	0.70	0.51	0.08	0.303	0.411	(A) BLACK OR AFRICAN AMERICAN
PTGFR	1p31.1	5.16	4.92	2.11	1.81	0.24	0.303	0.411	(A) BLACK OR AFRICAN AMERICAN
OR13J1	9p13.3	0.72	0.82	0.85	0.84	-0.10	0.303	0.411	(B) WHITE
ZNF485	10q11.21	6.36	6.44	0.76	0.75	-0.09	0.304	0.411	(B) WHITE
CLEC4A	12p13.31	5.66	5.52	1.15	0.98	0.13	0.304	0.411	(A) BLACK OR AFRICAN AMERICAN
AMZ2P1	17q24.1	7.55	7.64	0.78	0.70	-0.09	0.304	0.411	(B) WHITE
PPBPP2	4q13.3	0.03	0.01	0.13	0.08	0.01	0.304	0.411	(A) BLACK OR AFRICAN AMERICAN
MRGPRX3	11p15.1	1.58	1.77	1.64	1.70	-0.19	0.304	0.412	(B) WHITE
PROSER1	13q13.3	9.88	9.96	0.67	0.57	-0.08	0.304	0.412	(B) WHITE
PLCL2	3p24.3	7.11	7.25	1.20	1.05	-0.14	0.304	0.412	(B) WHITE
KCNC3	19q13.33	7.14	6.93	1.73	1.81	0.20	0.304	0.412	(A) BLACK OR AFRICAN AMERICAN
KLHL38	8q24.13	3.92	4.16	2.17	1.55	-0.25	0.304	0.412	(B) WHITE
CUL7	6p21.1	10.36	10.27	0.75	0.56	0.08	0.304	0.412	(A) BLACK OR AFRICAN AMERICAN
LCE3E	1q21.3	0.15	0.07	0.73	0.48	0.08	0.304	0.412	(A) BLACK OR AFRICAN AMERICAN
TIPARP-AS1	3q25.31	2.66	2.56	0.82	0.74	0.09	0.304	0.412	(A) BLACK OR AFRICAN AMERICAN
EFCAB5	17q11.2	1.57	1.68	0.92	0.93	-0.11	0.305	0.412	(B) WHITE
INSL6	9p24.1	0.36	0.23	1.15	0.83	0.13	0.305	0.412	(A) BLACK OR AFRICAN AMERICAN
C1GALT1C1L	2p21	3.65	3.49	1.40	1.18	0.16	0.305	0.412	(A) BLACK OR AFRICAN AMERICAN
TTL	2q14.1	9.61	9.54	0.61	0.51	0.07	0.305	0.412	(A) BLACK OR AFRICAN AMERICAN
CCL15	17q12	0.55	0.66	0.96	1.21	-0.12	0.305	0.413	(B) WHITE
PIGA	Xp22.2	7.78	7.86	0.68	0.57	-0.08	0.305	0.413	(B) WHITE
TRHDE	12q21.1	1.76	1.96	1.68	1.56	-0.19	0.305	0.413	(B) WHITE
SP9	2q31.1	0.42	0.31	0.96	0.86	0.11	0.305	0.413	(A) BLACK OR AFRICAN AMERICAN
KRTAP11-1	21q22.11	0.01	0.02	0.07	0.16	-0.01	0.305	0.413	(B) WHITE
GTF2A1L	2p16.3	1.29	1.43	1.24	1.32	-0.15	0.305	0.413	(B) WHITE
CXORF21	Xp21.2	5.38	5.54	1.36	1.10	-0.15	0.305	0.413	(B) WHITE
UGT2B28	4q13.2	1.38	1.68	2.52	2.51	-0.29	0.306	0.413	(B) WHITE
LLCFC1	7q34	0.46	0.39	0.62	0.59	0.07	0.306	0.413	(A) BLACK OR AFRICAN AMERICAN
TRIM48	11q11	0.16	0.08	0.78	0.36	0.09	0.306	0.414	(A) BLACK OR AFRICAN AMERICAN
JPH1	8q21.11	7.01	6.80	1.80	1.48	0.20	0.306	0.414	(A) BLACK OR AFRICAN AMERICAN
TRNT1	3p26.2	8.47	8.54	0.58	0.50	-0.07	0.306	0.414	(B) WHITE
USP49	6p21.1	4.07	4.23	1.39	0.93	-0.16	0.306	0.414	(B) WHITE
MIR1-1HG	20q13.33	0.01	0.03	0.08	0.17	-0.01	0.306	0.414	(B) WHITE
POTEH	22q11.1	0.51	0.60	0.77	0.84	-0.09	0.306	0.414	(B) WHITE
NDRG2	14q11.2	10.29	10.13	1.42	1.24	0.16	0.306	0.414	(A) BLACK OR AFRICAN AMERICAN
GOT1L1	8p11.23	0.02	0.01	0.12	0.05	0.01	0.306	0.414	(A) BLACK OR AFRICAN AMERICAN
TMEM184B	22q13.1	10.79	10.86	0.58	0.51	-0.07	0.306	0.414	(B) WHITE
CBWD1	9p24.3	9.65	9.56	0.77	0.71	0.09	0.306	0.414	(A) BLACK OR AFRICAN AMERICAN
CAMK2D	4q26	9.50	9.39	1.02	1.02	0.12	0.307	0.414	(A) BLACK OR AFRICAN AMERICAN
AFAP1L2	10q25.3	8.47	8.64	1.45	1.19	-0.16	0.307	0.414	(B) WHITE
RPLP0P2	11q12.2	5.81	5.93	1.06	1.04	-0.12	0.307	0.415	(B) WHITE
CLK1	2q33.1	10.35	10.43	0.66	0.66	-0.08	0.307	0.415	(B) WHITE
HMGCLL1	6p12.1	3.51	3.75	2.05	2.07	-0.24	0.307	0.415	(B) WHITE
GVINP1	11p15.4	5.90	6.11	1.82	1.53	-0.21	0.307	0.415	(B) WHITE
PRIM2	6p11.2	7.78	7.69	0.74	0.66	0.08	0.307	0.415	(A) BLACK OR AFRICAN AMERICAN
PFN2	3q25.1	10.91	10.76	1.24	1.12	0.14	0.307	0.415	(A) BLACK OR AFRICAN AMERICAN
PPP3CC	8p21.3	7.95	8.03	0.70	0.64	-0.08	0.307	0.415	(B) WHITE
TSPAN8	12q21.1	3.47	3.12	3.13	2.85	0.36	0.307	0.415	(A) BLACK OR AFRICAN AMERICAN
MBP	18q23	9.22	9.08	1.15	1.01	0.13	0.308	0.415	(A) BLACK OR AFRICAN AMERICAN
MYT1L-AS1	2p25.3	0.01	0.02	0.07	0.39	-0.02	0.308	0.415	(B) WHITE
ARMC3	10p12.2	3.71	3.97	2.18	2.24	-0.25	0.308	0.416	(B) WHITE
TTC31	2p13.1	9.00	8.95	0.45	0.38	0.05	0.308	0.416	(A) BLACK OR AFRICAN AMERICAN
WFDC11	20q13.12	0.11	0.03	0.77	0.15	0.08	0.308	0.416	(A) BLACK OR AFRICAN AMERICAN
ITGA10	1q21.1	6.03	6.22	1.65	1.39	-0.19	0.308	0.416	(B) WHITE
ATAD5	17q11.2	6.87	6.75	1.05	1.00	0.12	0.308	0.416	(A) BLACK OR AFRICAN AMERICAN
IGSF6	16p12.2	6.54	6.69	1.29	1.09	-0.15	0.308	0.416	(B) WHITE
OR11A1	6p22.1	0.03	0.01	0.17	0.15	0.02	0.308	0.416	(A) BLACK OR AFRICAN AMERICAN
CLEC1B	12p13.31-p13.2	0.20	0.14	0.55	0.41	0.06	0.308	0.416	(A) BLACK OR AFRICAN AMERICAN
ZNF7	8q24.3	9.19	9.11	0.64	0.57	0.07	0.309	0.416	(A) BLACK OR AFRICAN AMERICAN
NPPA	1p36.22	0.75	0.84	0.74	0.70	-0.08	0.309	0.416	(B) WHITE
VAV1	19p13.3	7.53	7.37	1.35	1.16	0.15	0.309	0.417	(A) BLACK OR AFRICAN AMERICAN
PEF1	1p35.2	10.69	10.64	0.50	0.39	0.06	0.309	0.417	(A) BLACK OR AFRICAN AMERICAN
FGFR2	10q26.13	9.17	9.35	1.62	1.62	-0.19	0.309	0.417	(B) WHITE
LY6G6E	6p21.33	0.10	0.07	0.30	0.22	0.03	0.309	0.417	(A) BLACK OR AFRICAN AMERICAN
C12ORF71	12p11.23	0.61	0.68	0.60	0.62	-0.07	0.309	0.417	(B) WHITE
COBL	7p12.1	9.45	9.62	1.43	1.40	-0.16	0.309	0.417	(B) WHITE
MBD3L2	19p13.2	0.05	0.02	0.28	0.16	0.03	0.309	0.417	(A) BLACK OR AFRICAN AMERICAN
RAVER2	1p31.3	8.55	8.44	0.97	1.04	0.11	0.309	0.417	(A) BLACK OR AFRICAN AMERICAN
GOLGA2P6	10p11.23	0.57	0.49	0.70	0.70	0.08	0.309	0.417	(A) BLACK OR AFRICAN AMERICAN
EEF1AKMT3	12q14.1	7.96	8.02	0.53	0.51	-0.06	0.309	0.417	(B) WHITE
REG3A	2p12	0.05	0.01	0.37	0.11	0.04	0.309	0.417	(A) BLACK OR AFRICAN AMERICAN
DPYSL2	8p21.2	10.55	10.65	0.86	0.81	-0.10	0.309	0.417	(B) WHITE
OR56A3	11p15.4	0.45	0.33	1.07	0.94	0.12	0.309	0.417	(A) BLACK OR AFRICAN AMERICAN
LINC00475	9q22.31	1.42	1.54	1.07	1.01	-0.12	0.310	0.417	(B) WHITE
SEC14L5	16p13.3	3.13	3.31	1.53	1.57	-0.18	0.310	0.417	(B) WHITE
SUMO1P1	20q13.2	0.49	0.56	0.53	0.97	-0.07	0.310	0.417	(B) WHITE
TCN2	22q12.2	8.78	8.66	0.98	0.88	0.11	0.310	0.418	(A) BLACK OR AFRICAN AMERICAN
TCP10	6q27	0.06	0.03	0.23	0.29	0.03	0.310	0.418	(A) BLACK OR AFRICAN AMERICAN
DDX31	9q34.13	8.41	8.47	0.48	0.38	-0.05	0.310	0.418	(B) WHITE
OR4D11	11q12.1	0.02	0.00	0.12	0.06	0.01	0.310	0.418	(A) BLACK OR AFRICAN AMERICAN
EVX1	7p15.2	0.38	0.30	0.73	0.65	0.08	0.311	0.419	(A) BLACK OR AFRICAN AMERICAN
SPO11	20q13.31	0.02	0.01	0.12	0.12	0.01	0.311	0.419	(A) BLACK OR AFRICAN AMERICAN
LINC00114	21q22.2	0.01	0.03	0.08	0.30	-0.02	0.311	0.419	(B) WHITE
CASK	Xp11.4	10.37	10.46	0.71	0.72	-0.08	0.311	0.419	(B) WHITE
MRS2	6p22.3	9.70	9.64	0.48	0.46	0.06	0.311	0.419	(A) BLACK OR AFRICAN AMERICAN
RARB	3p24.2	6.95	6.80	1.36	1.16	0.15	0.311	0.419	(A) BLACK OR AFRICAN AMERICAN
CCDC116	22q11.21	1.78	1.69	0.82	0.82	0.09	0.311	0.419	(A) BLACK OR AFRICAN AMERICAN
GNAT3	7q21.11	0.17	0.30	1.06	1.31	-0.13	0.311	0.419	(B) WHITE
CLCA3P	1p22.3	0.20	0.14	0.52	0.37	0.06	0.311	0.419	(A) BLACK OR AFRICAN AMERICAN
CSN1S2AP	4q13.3	0.10	0.03	0.62	0.64	0.07	0.312	0.420	(A) BLACK OR AFRICAN AMERICAN
ZIC5	13q32.3	1.42	1.17	2.20	1.98	0.25	0.312	0.420	(A) BLACK OR AFRICAN AMERICAN
MCCC1	3q27.1	9.19	9.09	0.89	0.75	0.10	0.312	0.420	(A) BLACK OR AFRICAN AMERICAN
KNG1	3q27.3	0.29	0.20	0.85	0.45	0.09	0.312	0.420	(A) BLACK OR AFRICAN AMERICAN
ATP4A	19q13.12	0.37	0.30	0.59	0.55	0.07	0.312	0.420	(A) BLACK OR AFRICAN AMERICAN
ANAPC16	10q22.1	10.99	10.93	0.50	0.43	0.06	0.312	0.420	(A) BLACK OR AFRICAN AMERICAN
SV2B	15q26.1	4.79	4.98	1.64	1.51	-0.19	0.312	0.420	(B) WHITE
WBP2NL	22q13.2	2.88	3.02	1.25	1.12	-0.14	0.312	0.420	(B) WHITE
AKR1C6P	10p15.1	0.13	0.08	0.43	0.35	0.05	0.312	0.420	(A) BLACK OR AFRICAN AMERICAN
SCGB2B2	19q13.11	0.87	1.01	1.24	1.03	-0.14	0.312	0.420	(B) WHITE
CHML	1q43	9.32	9.45	1.23	1.00	-0.14	0.312	0.420	(B) WHITE
DPYSL3	5q32	11.36	11.49	1.13	1.16	-0.13	0.312	0.420	(B) WHITE
CLDND1	3q11.2	10.11	10.05	0.53	0.45	0.06	0.313	0.421	(A) BLACK OR AFRICAN AMERICAN
