Gene	Cytoband	(A) BLACK OR AFRICAN AMERICAN	(B) WHITE	(A) BLACK OR AFRICAN AMERICAN	(B) WHITE	Log Ratio	p-Value	q-Value	Higher expression in
KDF1	1p36.11	8.82	8.84	0.29	0.31	-0.02	0.629	0.842	(B) WHITE
DIXDC1	11q23.1	9.53	9.59	0.74	0.71	-0.06	0.629	0.842	(B) WHITE
ACAN	15q26.1	4.34	4.48	1.70	1.73	-0.14	0.629	0.842	(B) WHITE
C1QTNF1	17q25.3	8.83	8.91	1.09	0.97	-0.09	0.629	0.842	(B) WHITE
APEH	3p21.31	11.40	11.42	0.32	0.33	-0.03	0.629	0.842	(B) WHITE
GYS2	12p12.1	0.42	0.34	1.04	0.43	0.08	0.629	0.842	(A) BLACK OR AFRICAN AMERICAN
CXORF40B	Xq28	8.64	8.67	0.33	0.29	-0.03	0.629	0.842	(B) WHITE
CDK5RAP2	9q33.2	10.29	10.32	0.29	0.31	-0.02	0.629	0.842	(B) WHITE
LDLRAD3	11p13	9.60	9.55	0.57	0.64	0.05	0.629	0.842	(A) BLACK OR AFRICAN AMERICAN
PGM5P2	9p11.2	4.13	4.24	1.35	1.35	-0.11	0.629	0.842	(B) WHITE
MAP2K3	17p11.2	10.17	10.14	0.41	0.43	0.03	0.629	0.842	(A) BLACK OR AFRICAN AMERICAN
ZNF333	19p13.12	7.52	7.54	0.35	0.36	-0.03	0.629	0.842	(B) WHITE
OR51V1	11p15.4	0.02	0.01	0.14	0.08	0.01	0.630	0.843	(A) BLACK OR AFRICAN AMERICAN
SMIM4	3p21.1	7.76	7.71	0.60	0.55	0.05	0.630	0.843	(A) BLACK OR AFRICAN AMERICAN
PRPF4	9q32	9.51	9.54	0.33	0.33	-0.03	0.630	0.843	(B) WHITE
NAPSB	19q13.33	6.54	6.44	1.24	1.13	0.10	0.630	0.843	(A) BLACK OR AFRICAN AMERICAN
NCOA5	20q13.12	10.28	10.26	0.27	0.26	0.02	0.630	0.843	(A) BLACK OR AFRICAN AMERICAN
KRTAP20-4	21q22.11	0.15	0.18	0.40	0.49	-0.03	0.630	0.843	(B) WHITE
ACSBG1	15q25.1	3.53	3.45	1.02	0.89	0.08	0.630	0.843	(A) BLACK OR AFRICAN AMERICAN
GTPBP3	19p13.11	8.49	8.47	0.30	0.43	0.03	0.630	0.843	(A) BLACK OR AFRICAN AMERICAN
SGK3	8q13.1	8.71	8.67	0.63	0.63	0.05	0.630	0.843	(A) BLACK OR AFRICAN AMERICAN
ERP29	12q24.13	12.45	12.40	0.55	0.50	0.04	0.630	0.843	(A) BLACK OR AFRICAN AMERICAN
MEG8	14q32.2-q32.31	0.06	0.08	0.21	0.19	-0.02	0.631	0.843	(B) WHITE
UTS2R	17q25.3	0.33	0.28	0.69	0.53	0.05	0.631	0.843	(A) BLACK OR AFRICAN AMERICAN
PGBD3	10q11.23	6.92	6.96	0.51	0.37	-0.04	0.631	0.844	(B) WHITE
SVOPL	7q34	1.50	1.42	1.01	1.02	0.08	0.631	0.844	(A) BLACK OR AFRICAN AMERICAN
CEBPB	20q13.13	9.04	9.12	0.92	0.76	-0.07	0.631	0.844	(B) WHITE
MYL6	12q13.2	13.57	13.61	0.47	0.46	-0.04	0.631	0.844	(B) WHITE
FASTKD3	5p15.31	7.38	7.35	0.39	0.37	0.03	0.631	0.844	(A) BLACK OR AFRICAN AMERICAN
RRAGD	6q15	9.39	9.45	0.68	0.89	-0.06	0.631	0.844	(B) WHITE
TNFSF12-TNFSF13	17p13.1	3.59	3.79	2.45	2.56	-0.20	0.631	0.844	(B) WHITE
RAMP3	7p13	8.16	8.09	0.89	0.76	0.07	0.631	0.844	(A) BLACK OR AFRICAN AMERICAN
MITD1	2q11.2	7.54	7.57	0.47	0.43	-0.04	0.631	0.844	(B) WHITE
SIGLEC6	19q13.41	2.75	2.66	1.07	1.20	0.09	0.631	0.844	(A) BLACK OR AFRICAN AMERICAN
KANK1	9p24.3	10.32	10.36	0.47	0.62	-0.04	0.632	0.844	(B) WHITE
SNORA62	3p22.1	0.11	0.09	0.27	0.23	0.02	0.632	0.844	(A) BLACK OR AFRICAN AMERICAN
TCEAL4	Xq22.2	11.56	11.53	0.35	0.36	0.03	0.632	0.844	(A) BLACK OR AFRICAN AMERICAN
OR4F15	15q26.3	0.02	0.01	0.10	0.07	0.01	0.632	0.844	(A) BLACK OR AFRICAN AMERICAN
C1QTNF3	5p13.2	6.96	7.06	1.33	1.44	-0.11	0.632	0.844	(B) WHITE
NIN	14q22.1	9.93	9.96	0.38	0.40	-0.03	0.632	0.844	(B) WHITE
MYCT1	6q25.2	6.50	6.58	0.99	0.91	-0.08	0.632	0.844	(B) WHITE
EVI2A	17q11.2	6.31	6.22	1.10	0.92	0.09	0.632	0.844	(A) BLACK OR AFRICAN AMERICAN
G6PC2	2q31.1	0.32	0.37	0.59	0.52	-0.05	0.632	0.844	(B) WHITE
SOX2-OT	3q26.33	3.22	3.16	0.84	0.72	0.06	0.632	0.844	(A) BLACK OR AFRICAN AMERICAN
ZNF451	6p12.1	9.51	9.55	0.35	0.68	-0.03	0.632	0.844	(B) WHITE
DGKD	2q37.1	10.49	10.44	0.58	0.55	0.05	0.632	0.844	(A) BLACK OR AFRICAN AMERICAN
PELI1	2p14	9.00	8.95	0.64	0.50	0.05	0.633	0.845	(A) BLACK OR AFRICAN AMERICAN
RILPL1	12q24.31	8.45	8.47	0.33	0.39	-0.03	0.633	0.845	(B) WHITE
VSIR	10q22.1	8.91	8.98	0.94	0.79	-0.07	0.633	0.845	(B) WHITE
OR8B2	11q24.2	0.02	0.01	0.10	0.11	0.01	0.633	0.845	(A) BLACK OR AFRICAN AMERICAN
LAIR1	19q13.42	7.14	7.07	0.96	0.81	0.07	0.633	0.845	(A) BLACK OR AFRICAN AMERICAN
C17ORF80	17q25.1	8.91	8.88	0.30	0.30	0.02	0.633	0.845	(A) BLACK OR AFRICAN AMERICAN
INKA2	1p13.2	5.48	5.53	0.69	0.71	-0.05	0.633	0.845	(B) WHITE
ADAMTS3	4q13.3	6.22	6.15	0.85	1.12	0.07	0.633	0.845	(A) BLACK OR AFRICAN AMERICAN
COL1A1	17q21.33	12.75	12.84	1.06	1.16	-0.08	0.633	0.845	(B) WHITE
COL8A1	3q12.1	7.94	8.04	1.19	1.26	-0.09	0.633	0.845	(B) WHITE
CYGB	17q25.1	7.73	7.81	1.03	0.82	-0.08	0.633	0.845	(B) WHITE
FCGR1A	1q21.2	4.24	4.15	1.16	1.02	0.09	0.633	0.845	(A) BLACK OR AFRICAN AMERICAN
ZFP36	19q13.2	12.65	12.53	1.56	1.47	0.12	0.633	0.845	(A) BLACK OR AFRICAN AMERICAN
OR6C70	12q13.2	0.02	0.02	0.12	0.09	0.01	0.633	0.845	(A) BLACK OR AFRICAN AMERICAN
TMEM171	5q13.2	1.01	1.08	0.87	0.71	-0.07	0.634	0.845	(B) WHITE
ELK1	Xp11.23	9.66	9.68	0.30	0.24	-0.02	0.634	0.845	(B) WHITE
LGMN	14q32.12	11.51	11.47	0.52	0.49	0.04	0.634	0.845	(A) BLACK OR AFRICAN AMERICAN
TMEM196	7p21.1	0.29	0.24	0.67	0.43	0.05	0.634	0.845	(A) BLACK OR AFRICAN AMERICAN
OCLM	1q31.1	1.56	1.63	0.89	0.79	-0.07	0.634	0.845	(B) WHITE
RPRM	2q23.3	5.55	5.67	1.49	1.20	-0.11	0.634	0.845	(B) WHITE
CIDEA	18p11.21|18	0.21	0.24	0.37	0.54	-0.03	0.634	0.845	(B) WHITE
PTH2R	2q34	2.74	2.84	1.27	1.57	-0.10	0.634	0.845	(B) WHITE
SLC45A2	5p13.2	5.37	5.20	2.22	2.50	0.18	0.634	0.845	(A) BLACK OR AFRICAN AMERICAN
LOC644669	18p11.21	0.14	0.12	0.26	0.26	0.02	0.634	0.845	(A) BLACK OR AFRICAN AMERICAN
FAM83G	17p11.2	6.80	6.87	0.86	0.98	-0.07	0.634	0.845	(B) WHITE
KRT40	17q21.2	0.60	0.66	0.73	0.72	-0.06	0.634	0.845	(B) WHITE
YWHAE	17p13.3	13.49	13.47	0.27	0.32	0.02	0.634	0.845	(A) BLACK OR AFRICAN AMERICAN
C1D	2p14	7.98	8.01	0.49	0.43	-0.04	0.634	0.845	(B) WHITE
BPGM	7q33	8.73	8.69	0.45	0.38	0.03	0.634	0.845	(A) BLACK OR AFRICAN AMERICAN
OR51B2	11p15.4	0.05	0.03	0.14	0.14	0.01	0.634	0.845	(A) BLACK OR AFRICAN AMERICAN
CD1D	1q23.1	4.67	4.76	1.06	0.87	-0.08	0.634	0.845	(B) WHITE
PIWIL1	12q24.33	0.69	0.63	0.74	0.90	0.06	0.635	0.846	(A) BLACK OR AFRICAN AMERICAN
ITLN1	1q23.3	1.58	1.70	1.55	1.47	-0.12	0.635	0.846	(B) WHITE
MBD3L2	19p13.2	0.01	0.01	0.08	0.07	0.01	0.635	0.846	(A) BLACK OR AFRICAN AMERICAN
TRPM1	15q13.3	0.18	0.16	0.34	0.34	0.03	0.635	0.846	(A) BLACK OR AFRICAN AMERICAN
ODF3	11p15.5	0.18	0.16	0.33	0.29	0.03	0.635	0.846	(A) BLACK OR AFRICAN AMERICAN
SERPINA13P	14q32.13	0.01	0.00	0.06	0.05	0.00	0.635	0.846	(A) BLACK OR AFRICAN AMERICAN
YAF2	12q12	7.92	7.89	0.32	0.30	0.02	0.635	0.846	(A) BLACK OR AFRICAN AMERICAN
SNORA23	11p15.4	0.35	0.39	0.59	0.66	-0.05	0.635	0.846	(B) WHITE
ZNF33B	10q11.21	9.99	10.03	0.45	0.41	-0.04	0.635	0.846	(B) WHITE
NDUFS3	11p11.2	10.19	10.22	0.36	0.32	-0.03	0.635	0.846	(B) WHITE
SYNPO2L	10q22.2	2.07	1.89	2.32	2.02	0.18	0.635	0.846	(A) BLACK OR AFRICAN AMERICAN
CELSR1	22q13.31	9.33	9.27	0.77	0.80	0.06	0.635	0.846	(A) BLACK OR AFRICAN AMERICAN
CEP85	1p36.11	7.53	7.48	0.53	0.52	0.04	0.635	0.846	(A) BLACK OR AFRICAN AMERICAN
REP15	12p11.22	3.82	3.76	0.67	0.78	0.05	0.635	0.846	(A) BLACK OR AFRICAN AMERICAN
NR2C1	12q22	7.96	7.99	0.35	0.41	-0.03	0.635	0.846	(B) WHITE
CFL2	14q13.1	9.78	9.84	0.76	0.72	-0.06	0.635	0.846	(B) WHITE
DYRK1B	19q13.2	9.35	9.37	0.35	0.42	-0.03	0.636	0.846	(B) WHITE
TBX6	16p11.2	4.53	4.47	0.80	0.85	0.06	0.636	0.846	(A) BLACK OR AFRICAN AMERICAN
RGS19	20q13.33	6.93	6.97	0.55	0.53	-0.04	0.636	0.846	(B) WHITE
GABPB2	1q21.3	6.51	6.54	0.37	0.42	-0.03	0.636	0.846	(B) WHITE
SMARCD1	12q13.12	10.09	10.11	0.20	0.25	-0.02	0.636	0.846	(B) WHITE
IL12B	5q33.3	1.39	1.30	1.16	0.96	0.09	0.636	0.846	(A) BLACK OR AFRICAN AMERICAN
ABCA7	19p13.3	7.92	7.85	0.91	0.75	0.07	0.636	0.846	(A) BLACK OR AFRICAN AMERICAN
MUCL1	12q13.2	2.52	2.41	1.40	1.69	0.11	0.636	0.847	(A) BLACK OR AFRICAN AMERICAN
COL13A1	10q22.1	5.43	5.32	1.44	1.28	0.11	0.637	0.847	(A) BLACK OR AFRICAN AMERICAN
SEPSECS	4p15.2	8.28	8.25	0.41	0.38	0.03	0.637	0.847	(A) BLACK OR AFRICAN AMERICAN
IPCEF1	6q25.2	5.91	5.84	0.87	0.96	0.07	0.637	0.847	(A) BLACK OR AFRICAN AMERICAN
ABCA6	17q24.2-q24.3	4.43	4.34	1.18	1.15	0.09	0.637	0.847	(A) BLACK OR AFRICAN AMERICAN
CAPN12	19q13.2	5.26	5.18	1.19	0.68	0.09	0.637	0.847	(A) BLACK OR AFRICAN AMERICAN
NUDT1	7p22.3	6.97	6.92	0.67	0.61	0.05	0.637	0.847	(A) BLACK OR AFRICAN AMERICAN
MORC1	3q13.13	0.50	0.43	0.94	0.71	0.07	0.637	0.847	(A) BLACK OR AFRICAN AMERICAN
WEE2-AS1	7q34	4.53	4.60	0.89	0.79	-0.07	0.637	0.847	(B) WHITE
LINC00324	17p13.1	6.03	5.97	0.72	0.76	0.06	0.637	0.847	(A) BLACK OR AFRICAN AMERICAN
CHCHD3	7q32.3-q33	9.37	9.39	0.31	0.28	-0.02	0.637	0.847	(B) WHITE
SYNGAP1	6p21.32	7.90	7.86	0.51	0.56	0.04	0.637	0.847	(A) BLACK OR AFRICAN AMERICAN
GLT8D2	12q23.3	7.09	7.02	0.90	0.85	0.07	0.637	0.847	(A) BLACK OR AFRICAN AMERICAN
CMTM6	3p22.3	11.56	11.59	0.38	0.41	-0.03	0.637	0.847	(B) WHITE
NEIL2	8p23.1	8.88	8.83	0.59	0.52	0.05	0.637	0.847	(A) BLACK OR AFRICAN AMERICAN
LINC00159	21q22.11	0.05	0.04	0.17	0.15	0.01	0.637	0.847	(A) BLACK OR AFRICAN AMERICAN
ALKBH4	7q22.1	8.25	8.22	0.38	0.38	0.03	0.637	0.847	(A) BLACK OR AFRICAN AMERICAN
GEMIN4	17p13.3	10.10	10.06	0.51	0.50	0.04	0.637	0.847	(A) BLACK OR AFRICAN AMERICAN
C12ORF71	12p11.23	0.56	0.52	0.51	0.51	0.04	0.638	0.847	(A) BLACK OR AFRICAN AMERICAN
COX5A	15q24.2	10.63	10.60	0.41	0.37	0.03	0.638	0.847	(A) BLACK OR AFRICAN AMERICAN
CCDC61	19q13.32	7.11	7.14	0.46	0.51	-0.04	0.638	0.847	(B) WHITE
MFAP2	1p36.13	7.13	7.05	1.03	0.95	0.08	0.638	0.847	(A) BLACK OR AFRICAN AMERICAN
ARHGEF40	14q11.2	8.94	8.89	0.65	0.64	0.05	0.638	0.847	(A) BLACK OR AFRICAN AMERICAN
LINC01550	14q32.2	2.20	2.11	1.18	0.95	0.09	0.638	0.847	(A) BLACK OR AFRICAN AMERICAN
CFC1B	2q21.1	5.15	4.96	2.41	2.08	0.18	0.638	0.847	(A) BLACK OR AFRICAN AMERICAN
RNF182	6p23	2.62	2.70	1.04	1.00	-0.08	0.638	0.847	(B) WHITE
SOX15	17p13.1	5.43	5.51	1.15	1.12	-0.09	0.638	0.847	(B) WHITE
OIT3	10q22.1	0.60	0.64	0.54	0.65	-0.04	0.638	0.847	(B) WHITE
CSTA	3q21.1	6.12	6.00	1.56	1.37	0.12	0.638	0.847	(A) BLACK OR AFRICAN AMERICAN
FAM3C	7q31.31	9.88	9.90	0.30	0.36	-0.02	0.638	0.848	(B) WHITE
RGS9	17q24.1	4.72	4.83	1.32	1.45	-0.10	0.638	0.848	(B) WHITE
TMEM98	17q11.2	11.14	11.11	0.37	0.45	0.03	0.638	0.848	(A) BLACK OR AFRICAN AMERICAN
CCNG1	5q34	11.94	11.91	0.37	0.51	0.03	0.639	0.848	(A) BLACK OR AFRICAN AMERICAN
DDX21	10q22.1	10.47	10.52	0.69	0.65	-0.05	0.639	0.848	(B) WHITE
TMEM40	3p25.2	3.14	3.29	1.95	1.87	-0.15	0.639	0.848	(B) WHITE
PNMA2	8p21.2	4.10	4.20	1.25	1.19	-0.10	0.639	0.848	(B) WHITE
APBA3	19p13.3	8.13	8.11	0.34	0.41	0.03	0.639	0.848	(A) BLACK OR AFRICAN AMERICAN
DYNC1LI1	3p22.3	9.99	9.97	0.24	0.28	0.02	0.639	0.848	(A) BLACK OR AFRICAN AMERICAN
DIS3	13q21.33	9.62	9.65	0.37	0.41	-0.03	0.639	0.848	(B) WHITE
ITGB8	7p21.1	8.69	8.76	0.94	1.12	-0.07	0.639	0.848	(B) WHITE
BCL7C	16p11.2	9.16	9.13	0.38	0.46	0.03	0.639	0.848	(A) BLACK OR AFRICAN AMERICAN
SDS	12q24.13	5.76	5.65	1.40	1.28	0.11	0.639	0.848	(A) BLACK OR AFRICAN AMERICAN
RYK	3q22.2	10.34	10.36	0.30	0.26	-0.02	0.639	0.848	(B) WHITE
ATP6V0E1	5q35.1	11.90	11.87	0.33	0.32	0.03	0.639	0.848	(A) BLACK OR AFRICAN AMERICAN
PNO1	2p14	8.87	8.84	0.36	0.32	0.03	0.639	0.848	(A) BLACK OR AFRICAN AMERICAN
TSPAN4	11p15.5	8.56	8.62	0.75	0.69	-0.06	0.639	0.848	(B) WHITE
IRF2BP1	19q13.32	9.99	10.02	0.37	0.43	-0.03	0.639	0.848	(B) WHITE
TRIM71	3p22.3	0.18	0.15	0.32	0.31	0.02	0.639	0.848	(A) BLACK OR AFRICAN AMERICAN
FAM149B1	10q22.2	8.87	8.89	0.29	0.31	-0.02	0.639	0.848	(B) WHITE
ARL11	13q14.2	3.75	3.68	0.96	0.82	0.07	0.640	0.848	(A) BLACK OR AFRICAN AMERICAN
NOXRED1	14q24.3	2.89	2.83	0.71	0.71	0.06	0.640	0.848	(A) BLACK OR AFRICAN AMERICAN
PAN3	13q12.2	9.92	9.90	0.30	0.34	0.02	0.640	0.848	(A) BLACK OR AFRICAN AMERICAN
AQP6	12q13.12	1.46	1.54	1.01	1.02	-0.08	0.640	0.848	(B) WHITE
CSTF2	Xq22.1	8.25	8.28	0.33	0.37	-0.03	0.640	0.848	(B) WHITE
PERM1	1p36.33	6.01	5.95	0.82	0.82	0.06	0.640	0.848	(A) BLACK OR AFRICAN AMERICAN
TPM4	19p13.12-p13.11	12.82	12.85	0.48	0.46	-0.04	0.640	0.848	(B) WHITE
PSPN	19p13.3	0.93	0.99	0.79	0.65	-0.06	0.640	0.848	(B) WHITE
LCP1	13q14.13	13.15	13.09	0.83	0.85	0.06	0.640	0.848	(A) BLACK OR AFRICAN AMERICAN
KMT2E	7q22.3	10.73	10.76	0.40	0.42	-0.03	0.640	0.848	(B) WHITE
CCDC121	2p23.3	6.94	6.97	0.42	0.41	-0.03	0.640	0.848	(B) WHITE
UMODL1-AS1	21q22.3	0.85	0.77	1.17	0.99	0.09	0.640	0.848	(A) BLACK OR AFRICAN AMERICAN
GAGE12J	Xp11.23	0.12	0.07	0.72	0.51	0.05	0.640	0.848	(A) BLACK OR AFRICAN AMERICAN
MBD4	3q21.3	9.22	9.20	0.27	0.31	0.02	0.640	0.848	(A) BLACK OR AFRICAN AMERICAN
AMELX	Xp22.2	0.29	0.25	0.52	0.42	0.04	0.640	0.848	(A) BLACK OR AFRICAN AMERICAN
RSPH14	22q11.22-q11.23	1.59	1.52	0.83	0.86	0.06	0.640	0.848	(A) BLACK OR AFRICAN AMERICAN
CABP4	11q13.2	5.35	5.43	0.98	0.93	-0.07	0.640	0.848	(B) WHITE
DNAJC12	10q21.3	7.23	7.32	1.11	1.21	-0.09	0.640	0.848	(B) WHITE
ETF1	5q31.2	11.13	11.16	0.30	0.30	-0.02	0.641	0.848	(B) WHITE
PLCD1	3p22.2	8.37	8.41	0.50	0.47	-0.04	0.641	0.848	(B) WHITE
SPO11	20q13.31	0.01	0.02	0.08	0.13	-0.01	0.641	0.848	(B) WHITE
FAM161B	14q24.3	6.94	6.99	0.66	0.51	-0.05	0.641	0.848	(B) WHITE
CLEC3B	3p21.31	7.24	7.14	1.30	1.11	0.10	0.641	0.848	(A) BLACK OR AFRICAN AMERICAN
UNC45B	17q12	1.56	1.40	2.11	1.75	0.16	0.641	0.848	(A) BLACK OR AFRICAN AMERICAN
MAGEB1	Xp21.2	0.01	0.01	0.08	0.06	0.01	0.641	0.848	(A) BLACK OR AFRICAN AMERICAN
MRPL47	3q26.33	8.92	8.89	0.40	0.34	0.03	0.641	0.849	(A) BLACK OR AFRICAN AMERICAN
SLC26A4	7q22.3	7.71	7.87	2.12	2.08	-0.16	0.641	0.849	(B) WHITE
SVBP	1p34.2	7.69	7.66	0.36	0.36	0.03	0.641	0.849	(A) BLACK OR AFRICAN AMERICAN
SVIP	11p14.3	9.25	9.23	0.32	0.37	0.03	0.641	0.849	(A) BLACK OR AFRICAN AMERICAN
PHB2	12p13.31	11.97	11.94	0.40	0.49	0.03	0.641	0.849	(A) BLACK OR AFRICAN AMERICAN
LINC00284	13q14.11	1.27	1.35	1.08	0.88	-0.08	0.641	0.849	(B) WHITE
DNAJC1	10p12.31	9.63	9.60	0.44	0.46	0.03	0.642	0.849	(A) BLACK OR AFRICAN AMERICAN
LPO	17q22	0.53	0.57	0.57	0.51	-0.04	0.642	0.849	(B) WHITE
NR4A3	9q31.1	7.59	7.42	2.26	1.93	0.17	0.642	0.849	(A) BLACK OR AFRICAN AMERICAN
KIAA0319L	1p34.3	12.13	12.10	0.37	0.43	0.03	0.642	0.849	(A) BLACK OR AFRICAN AMERICAN
EDN2	1p34.2	5.34	5.26	1.01	1.38	0.08	0.642	0.849	(A) BLACK OR AFRICAN AMERICAN
SPATA13	13q12.12	9.24	9.18	0.83	0.93	0.06	0.642	0.849	(A) BLACK OR AFRICAN AMERICAN
C9ORF47	9q22.1	3.59	3.50	1.17	1.01	0.09	0.642	0.849	(A) BLACK OR AFRICAN AMERICAN
CEP44	4q34.1	8.50	8.47	0.40	0.38	0.03	0.642	0.849	(A) BLACK OR AFRICAN AMERICAN
CUZD1	10q26.13	3.33	3.40	0.88	0.77	-0.07	0.642	0.849	(B) WHITE
ZNF711	Xq21.1	5.75	5.66	1.22	1.10	0.09	0.642	0.849	(A) BLACK OR AFRICAN AMERICAN
MMP12	11q22.2	3.23	3.08	1.88	1.80	0.14	0.642	0.849	(A) BLACK OR AFRICAN AMERICAN
PCDHGA10	5q31.3	6.52	6.38	1.81	1.92	0.14	0.642	0.849	(A) BLACK OR AFRICAN AMERICAN
GRK5	10q26.11	7.31	7.37	0.76	0.63	-0.06	0.642	0.849	(B) WHITE
TFB2M	1q44	8.59	8.62	0.35	0.36	-0.03	0.642	0.849	(B) WHITE
SRFBP1	5q23.1	7.87	7.84	0.43	0.45	0.03	0.642	0.849	(A) BLACK OR AFRICAN AMERICAN
GPRC6A	6q22.1	0.81	0.73	1.03	1.12	0.08	0.642	0.849	(A) BLACK OR AFRICAN AMERICAN
BPIFB6	20q11.21	0.04	0.02	0.18	0.13	0.01	0.642	0.849	(A) BLACK OR AFRICAN AMERICAN
CDC14C	7p12.3	2.92	2.99	0.92	0.89	-0.07	0.642	0.849	(B) WHITE
SPDYE4	17p13.1	0.07	0.09	0.23	0.39	-0.02	0.643	0.849	(B) WHITE
CYP39A1	6p12.3	9.43	9.38	0.62	0.98	0.05	0.643	0.849	(A) BLACK OR AFRICAN AMERICAN
RAC3	17q25.3	8.85	8.80	0.60	0.77	0.05	0.643	0.849	(A) BLACK OR AFRICAN AMERICAN
C8ORF58	8p21.3	6.99	6.95	0.52	0.52	0.04	0.643	0.849	(A) BLACK OR AFRICAN AMERICAN
ZNF546	19q13.2	5.85	5.89	0.49	0.44	-0.04	0.643	0.849	(B) WHITE
SPIRE1	18p11.21	9.49	9.53	0.48	0.44	-0.04	0.643	0.849	(B) WHITE
RNPS1	16p13.3	11.57	11.55	0.28	0.31	0.02	0.643	0.849	(A) BLACK OR AFRICAN AMERICAN
TRDMT1	10p13	7.07	7.10	0.43	0.39	-0.03	0.643	0.849	(B) WHITE
FLACC1	2q33.1	1.18	1.12	0.68	0.80	0.05	0.643	0.849	(A) BLACK OR AFRICAN AMERICAN
GIMAP2	7q36.1	6.73	6.78	0.69	0.70	-0.05	0.643	0.849	(B) WHITE
LOC646762	7p14.3	7.73	7.76	0.35	0.38	-0.03	0.643	0.849	(B) WHITE
MMP2	16q12.2	10.87	10.79	1.00	0.96	0.08	0.643	0.849	(A) BLACK OR AFRICAN AMERICAN
KAZN	1p36.21	7.93	7.89	0.51	0.47	0.04	0.643	0.849	(A) BLACK OR AFRICAN AMERICAN
ZMYM1	1p34.3	7.66	7.69	0.42	0.45	-0.03	0.643	0.849	(B) WHITE
SLC19A2	1q24.2	9.40	9.36	0.50	0.60	0.04	0.643	0.849	(A) BLACK OR AFRICAN AMERICAN
NLRP14	11p15.4	1.02	0.96	0.71	0.74	0.05	0.643	0.849	(A) BLACK OR AFRICAN AMERICAN
SLC25A44	1q22	9.41	9.38	0.33	0.35	0.03	0.643	0.849	(A) BLACK OR AFRICAN AMERICAN
SDCBP	8q12.1	11.52	11.49	0.50	0.40	0.04	0.643	0.849	(A) BLACK OR AFRICAN AMERICAN
AREG	4q13.3	4.37	4.20	2.23	1.76	0.17	0.644	0.849	(A) BLACK OR AFRICAN AMERICAN
ZDHHC21	9p22.3	7.70	7.74	0.61	0.61	-0.05	0.644	0.849	(B) WHITE
FAM209A	20q13.31	0.64	0.60	0.58	0.63	0.05	0.644	0.849	(A) BLACK OR AFRICAN AMERICAN
MYH7	14q11.2	2.17	1.87	3.96	3.61	0.30	0.644	0.849	(A) BLACK OR AFRICAN AMERICAN
NANOS3	19p13.12	1.82	1.89	0.90	0.97	-0.07	0.644	0.849	(B) WHITE
MRPL11	11q13.2	9.05	9.03	0.30	0.39	0.02	0.644	0.849	(A) BLACK OR AFRICAN AMERICAN
LRATD2	8q24.21	10.54	10.58	0.54	0.53	-0.04	0.644	0.849	(B) WHITE
REN	1q32.1	1.04	0.94	1.37	0.89	0.10	0.644	0.849	(A) BLACK OR AFRICAN AMERICAN
MAP1LC3C	1q43	0.31	0.34	0.39	0.45	-0.03	0.644	0.849	(B) WHITE
CCNA1	13q13.3	1.18	1.25	0.92	0.85	-0.07	0.644	0.849	(B) WHITE
FAM76A	1p35.3	7.76	7.78	0.26	0.32	-0.02	0.644	0.849	(B) WHITE
TP63	3q28	7.95	8.13	2.43	2.21	-0.18	0.644	0.849	(B) WHITE
CASR	3q13.33-q21.1	0.98	0.92	0.89	0.76	0.07	0.644	0.849	(A) BLACK OR AFRICAN AMERICAN
JAKMIP2	5q32	2.75	2.66	1.24	1.09	0.09	0.644	0.849	(A) BLACK OR AFRICAN AMERICAN
LIPC	15q21.3	1.60	1.52	1.10	0.95	0.08	0.644	0.849	(A) BLACK OR AFRICAN AMERICAN
IQGAP3	1q22	5.72	5.80	1.06	1.29	-0.08	0.644	0.849	(B) WHITE
LOC340357	8p23.1-p22	0.01	0.01	0.08	0.05	0.01	0.644	0.849	(A) BLACK OR AFRICAN AMERICAN
DUOXA1	15q21.1	4.84	4.99	2.08	1.88	-0.16	0.644	0.849	(B) WHITE
SMYD4	17p13.3	8.06	8.09	0.30	0.37	-0.02	0.644	0.849	(B) WHITE
CLCC1	1p13.3	10.28	10.30	0.30	0.27	-0.02	0.644	0.849	(B) WHITE
NLRC4	2p22.3	3.84	3.79	0.73	0.64	0.06	0.644	0.849	(A) BLACK OR AFRICAN AMERICAN
TNFRSF10C	8p21.3	4.39	4.30	1.18	1.21	0.09	0.644	0.849	(A) BLACK OR AFRICAN AMERICAN
ZCCHC18	Xq22.2	3.30	3.24	0.77	0.82	0.06	0.644	0.849	(A) BLACK OR AFRICAN AMERICAN
SEC63	6q21	11.61	11.65	0.33	0.81	-0.03	0.644	0.849	(B) WHITE
GK3P	4q32.3	3.77	3.72	0.65	0.56	0.05	0.644	0.849	(A) BLACK OR AFRICAN AMERICAN
SNORA31	13q14.13	0.20	0.23	0.44	0.46	-0.03	0.644	0.849	(B) WHITE
RAP1GAP	1p36.12	11.55	11.49	0.73	0.76	0.06	0.645	0.850	(A) BLACK OR AFRICAN AMERICAN
BCRP3	22q11.23	3.95	4.06	1.41	1.41	-0.11	0.645	0.850	(B) WHITE
NUDT2	9p13.3	8.86	8.90	0.48	0.48	-0.04	0.645	0.850	(B) WHITE
SIMC1	5q35.2	7.95	7.98	0.43	0.36	-0.03	0.645	0.850	(B) WHITE
LINC01142	1q24.2	0.06	0.08	0.20	0.21	-0.02	0.645	0.850	(B) WHITE
