Gene	Cytoband	(A) BLACK OR AFRICAN AMERICAN	(B) WHITE	(A) BLACK OR AFRICAN AMERICAN	(B) WHITE	Log Ratio	p-Value	q-Value	Higher expression in
ANKS3	16p13.3	8.96	8.63	0.45	0.62	0.33	6.631e-5	7.412e-3	(A) BLACK OR AFRICAN AMERICAN
PEBP4	8p21.3	8.71	7.51	1.64	2.12	1.20	6.642e-5	7.412e-3	(A) BLACK OR AFRICAN AMERICAN
SLC6A3	5p15.33	3.84	2.56	1.83	1.68	1.28	6.678e-5	7.412e-3	(A) BLACK OR AFRICAN AMERICAN
SDHAP3	5p15.33	6.84	6.48	0.51	0.57	0.36	6.776e-5	7.480e-3	(A) BLACK OR AFRICAN AMERICAN
ARHGAP45	19p13.3	9.09	8.63	0.64	0.71	0.46	6.837e-5	7.505e-3	(A) BLACK OR AFRICAN AMERICAN
BCR	22q11.23	10.30	10.51	0.29	0.34	-0.21	6.930e-5	7.567e-3	(B) WHITE
RPS26P11	Xq13.1	1.59	1.14	0.64	0.62	0.45	7.361e-5	7.994e-3	(A) BLACK OR AFRICAN AMERICAN
GGACT	13q32.3	7.52	7.13	0.55	0.62	0.39	7.441e-5	8.012e-3	(A) BLACK OR AFRICAN AMERICAN
TPH1	11p15.1	2.10	2.89	1.08	1.45	-0.79	7.457e-5	8.012e-3	(B) WHITE
ASIC5	4q32.1	0.07	0.34	0.24	0.91	-0.27	7.627e-5	8.150e-3	(B) WHITE
IGFLR1	19q13.12	7.13	6.67	0.66	0.67	0.46	7.668e-5	8.150e-3	(A) BLACK OR AFRICAN AMERICAN
TRMO	9q22.33	8.28	8.09	0.27	0.31	0.19	7.779e-5	8.226e-3	(A) BLACK OR AFRICAN AMERICAN
PPP2R5E	14q23.2	8.87	9.10	0.32	0.39	-0.23	7.997e-5	8.411e-3	(B) WHITE
ZBTB32	19q13.12	3.19	2.63	0.79	0.91	0.56	8.123e-5	8.500e-3	(A) BLACK OR AFRICAN AMERICAN
DTNB	2p23.3	9.82	9.55	0.36	0.48	0.26	8.216e-5	8.509e-3	(A) BLACK OR AFRICAN AMERICAN
GUSBP4	6p11.2	7.35	6.92	0.60	0.71	0.43	8.249e-5	8.509e-3	(A) BLACK OR AFRICAN AMERICAN
NMRK1	9q21.13	8.85	8.50	0.50	0.52	0.35	8.259e-5	8.509e-3	(A) BLACK OR AFRICAN AMERICAN
CLC	19q13.2	0.10	0.30	0.23	0.57	-0.20	8.349e-5	8.526e-3	(B) WHITE
