Gene	Cytoband	(A) BLACK OR AFRICAN AMERICAN	(B) WHITE	(A) BLACK OR AFRICAN AMERICAN	(B) WHITE	Log Ratio	p-Value	q-Value	Higher methylation in
HEXD	17q25.3	0.85	0.80	0.07	0.12	0.05	8.277e-5	8.047e-3	(A) BLACK OR AFRICAN AMERICAN
TAPT1	4p15.32	0.48	0.31	0.25	0.20	0.17	8.485e-5	8.197e-3	(A) BLACK OR AFRICAN AMERICAN
ITPKB	1q42.12	0.59	0.52	0.11	0.13	0.07	8.772e-5	8.422e-3	(A) BLACK OR AFRICAN AMERICAN
NSUN2	5p15.31	0.78	0.66	0.17	0.23	0.12	8.874e-5	8.468e-3	(A) BLACK OR AFRICAN AMERICAN
PIH1D1	19q13.33	0.07	0.08	0.02	0.02	-0.01	9.094e-5	8.586e-3	(B) WHITE
HNRNPH1	5q35.3	0.05	0.06	0.02	0.02	-0.01	9.108e-5	8.586e-3	(B) WHITE
SLC35B4	7q33	0.81	0.72	0.13	0.17	0.09	9.165e-5	8.587e-3	(A) BLACK OR AFRICAN AMERICAN
ZNF76	6p21.31	0.17	0.20	0.05	0.06	-0.04	9.571e-5	8.909e-3	(B) WHITE
MGC57346	17q21.31	0.86	0.82	0.05	0.07	0.04	9.623e-5	8.909e-3	(A) BLACK OR AFRICAN AMERICAN
PLAUR	19q13.31	0.90	0.88	0.02	0.05	0.02	9.798e-5	9.017e-3	(A) BLACK OR AFRICAN AMERICAN
TMEM189	20q13.13	0.71	0.63	0.11	0.15	0.08	1.001e-4	9.155e-3	(A) BLACK OR AFRICAN AMERICAN
RBM15	1p13.3	0.92	0.90	0.02	0.08	0.02	1.020e-4	9.255e-3	(A) BLACK OR AFRICAN AMERICAN
CAV1	7q31.2	0.70	0.61	0.14	0.17	0.10	1.023e-4	9.255e-3	(A) BLACK OR AFRICAN AMERICAN
NABP2	12q13.3	0.18	0.23	0.06	0.07	-0.04	1.079e-4	9.703e-3	(B) WHITE
EXOSC9	4q27	0.04	0.05	0.02	0.03	-0.02	1.097e-4	9.808e-3	(B) WHITE
NAP1L4	11p15.4	0.89	0.86	0.04	0.10	0.04	1.117e-4	9.905e-3	(A) BLACK OR AFRICAN AMERICAN
TTC32	2p24.1	0.06	0.07	0.02	0.02	-0.01	1.121e-4	9.905e-3	(B) WHITE
NR1H2	19q13.33	0.04	0.05	0.01	0.01	-0.01	1.160e-4	0.0102	(B) WHITE
RPP38	10p13	0.03	0.04	0.02	0.02	-0.01	1.254e-4	0.0110	(B) WHITE
RNF44	5q35.2	0.45	0.33	0.18	0.20	0.12	1.319e-4	0.0115	(A) BLACK OR AFRICAN AMERICAN
PFDN5	12q13.13	0.03	0.04	0.01	0.01	-0.01	1.331e-4	0.0115	(B) WHITE
NOG	17q22	0.05	0.05	0.01	0.01	0.01	1.348e-4	0.0116	(A) BLACK OR AFRICAN AMERICAN
SNRPC	6p21.31	0.01	0.02	0.00	0.01	-0.00	1.377e-4	0.0117	(B) WHITE
C14ORF119	14q11.2	0.09	0.11	0.02	0.03	-0.01	1.391e-4	0.0117	(B) WHITE
ACAA1	3p22.2	0.03	0.04	0.02	0.02	-0.01	1.406e-4	0.0117	(B) WHITE
ATP1A1	1p13.1	0.63	0.50	0.18	0.20	0.12	1.417e-4	0.0117	(A) BLACK OR AFRICAN AMERICAN
ZNF696	8q24.3	0.14	0.10	0.06	0.05	0.04	1.418e-4	0.0117	(A) BLACK OR AFRICAN AMERICAN
BAG1	9p13.3	0.03	0.03	0.01	0.01	-0.00	1.419e-4	0.0117	(B) WHITE
RPS27	1q21.3	0.06	0.09	0.04	0.04	-0.03	1.420e-4	0.0117	(B) WHITE
PTGS2	1q31.1	0.71	0.61	0.14	0.19	0.10	1.424e-4	0.0117	(A) BLACK OR AFRICAN AMERICAN
DRAM2	1p13.3	0.66	0.57	0.12	0.14	0.08	1.434e-4	0.0117	(A) BLACK OR AFRICAN AMERICAN
KIAA0754	1p34.3	0.68	0.62	0.10	0.11	0.07	1.443e-4	0.0117	(A) BLACK OR AFRICAN AMERICAN
KDELR3	22q13.1	0.95	0.91	0.04	0.08	0.03	1.444e-4	0.0117	(A) BLACK OR AFRICAN AMERICAN
PRDM5	4q27	0.61	0.48	0.19	0.21	0.13	1.447e-4	0.0117	(A) BLACK OR AFRICAN AMERICAN
RPS27L	15q22.2	0.04	0.05	0.01	0.01	-0.01	1.508e-4	0.0121	(B) WHITE
IGFBP2	2q35	0.14	0.20	0.07	0.14	-0.06	1.529e-4	0.0122	(B) WHITE
FZD8	10p11.21	0.88	0.83	0.07	0.14	0.06	1.558e-4	0.0124	(A) BLACK OR AFRICAN AMERICAN
FAM166B	9p13.3	0.82	0.76	0.09	0.14	0.06	1.566e-4	0.0124	(A) BLACK OR AFRICAN AMERICAN
NFKBIB	19q13.2	0.04	0.05	0.01	0.02	-0.01	1.587e-4	0.0125	(B) WHITE
PEBP1	12q24.23	0.04	0.05	0.01	0.03	-0.01	1.600e-4	0.0125	(B) WHITE
