Gene	Cytoband	(A) BLACK OR AFRICAN AMERICAN	(B) WHITE	(A) BLACK OR AFRICAN AMERICAN	(B) WHITE	Log Ratio	p-Value	q-Value	Higher methylation in
NBPF22P	5q14.3	0.83	0.80	0.15	0.14	0.03	0.136	0.290	(A) BLACK OR AFRICAN AMERICAN
RPL24	3q12.3	0.02	0.02	0.00	0.00	-0.00	0.136	0.290	(B) WHITE
MRPL40	22q11.21	0.02	0.02	0.00	0.00	0.00	0.136	0.290	(A) BLACK OR AFRICAN AMERICAN
GLB1L3	11q25	0.15	0.19	0.20	0.24	-0.04	0.136	0.290	(B) WHITE
RPL13AP3	14q22.3	0.90	0.88	0.09	0.10	0.02	0.136	0.290	(A) BLACK OR AFRICAN AMERICAN
MBOAT7	19q13.42	0.38	0.35	0.11	0.11	0.02	0.136	0.290	(A) BLACK OR AFRICAN AMERICAN
LSM6	4q31.22	0.88	0.89	0.07	0.06	-0.01	0.136	0.291	(B) WHITE
CD2	1p13.1	0.87	0.89	0.06	0.06	-0.01	0.136	0.291	(B) WHITE
ATAT1	6p21.33	0.88	0.90	0.12	0.09	-0.02	0.136	0.291	(B) WHITE
TAF13	1p13.3	0.02	0.02	0.00	0.01	0.00	0.136	0.291	(A) BLACK OR AFRICAN AMERICAN
GRASP	12q13.13	0.76	0.77	0.06	0.06	-0.01	0.136	0.291	(B) WHITE
SLC35A1	6q15	0.04	0.04	0.02	0.01	0.00	0.137	0.291	(A) BLACK OR AFRICAN AMERICAN
ST6GALNAC2	17q25.1	0.05	0.04	0.08	0.04	0.01	0.137	0.291	(A) BLACK OR AFRICAN AMERICAN
USO1	4q21.1	0.03	0.03	0.01	0.02	0.00	0.137	0.291	(A) BLACK OR AFRICAN AMERICAN
QDPR	4p15.32	0.07	0.08	0.05	0.09	-0.01	0.137	0.291	(B) WHITE
HACL1	3p25.1	0.04	0.04	0.01	0.02	0.00	0.137	0.291	(A) BLACK OR AFRICAN AMERICAN
PCDHB19P	5q31.3	0.66	0.62	0.19	0.20	0.04	0.137	0.291	(A) BLACK OR AFRICAN AMERICAN
PIP5K1A	1q21.3	0.02	0.02	0.00	0.00	-0.00	0.137	0.292	(B) WHITE
GPR3	1p36.11	0.04	0.04	0.01	0.02	-0.00	0.137	0.292	(B) WHITE
CFAP97	4q35.1	0.02	0.01	0.00	0.00	0.00	0.137	0.292	(A) BLACK OR AFRICAN AMERICAN
ABHD8	19p13.11	0.24	0.22	0.11	0.10	0.02	0.137	0.292	(A) BLACK OR AFRICAN AMERICAN
TNFSF14	19p13.3	0.46	0.50	0.21	0.19	-0.04	0.137	0.292	(B) WHITE
TIMM10	11q12.1	0.02	0.02	0.00	0.01	-0.00	0.137	0.292	(B) WHITE
TMED7	5q22.3	0.01	0.01	0.00	0.00	0.00	0.137	0.293	(A) BLACK OR AFRICAN AMERICAN
MAP4	3p21.31	0.08	0.08	0.04	0.05	0.01	0.138	0.293	(A) BLACK OR AFRICAN AMERICAN
DDB2	11p11.2	0.02	0.02	0.01	0.01	-0.00	0.138	0.293	(B) WHITE
MEIOB	16p13.3	0.06	0.04	0.08	0.05	0.01	0.138	0.293	(A) BLACK OR AFRICAN AMERICAN
PSG5	19q13.31	0.33	0.35	0.13	0.12	-0.02	0.138	0.293	(B) WHITE
CHML	1q43	0.88	0.90	0.12	0.07	-0.02	0.138	0.293	(B) WHITE
RNPC3	1p21.1	0.09	0.10	0.03	0.04	-0.01	0.138	0.293	(B) WHITE
NCOA3	20q13.12	0.02	0.02	0.00	0.01	-0.00	0.138	0.293	(B) WHITE
NMBR	6q24.1	0.36	0.34	0.14	0.13	0.03	0.138	0.293	(A) BLACK OR AFRICAN AMERICAN
UNC45A	15q26.1	0.34	0.31	0.16	0.15	0.03	0.138	0.293	(A) BLACK OR AFRICAN AMERICAN
ZSCAN5A	19q13.43	0.50	0.52	0.10	0.09	-0.02	0.138	0.293	(B) WHITE
RFC1	4p14	0.02	0.02	0.01	0.01	0.00	0.138	0.293	(A) BLACK OR AFRICAN AMERICAN
LEPROTL1	8p12	0.02	0.02	0.00	0.00	0.00	0.138	0.293	(A) BLACK OR AFRICAN AMERICAN
NSD2	4p16.3	0.89	0.90	0.08	0.04	-0.01	0.138	0.293	(B) WHITE
SCARF1	17p13.3	0.73	0.74	0.06	0.06	-0.01	0.138	0.293	(B) WHITE
FAM178B	2q11.2	0.58	0.62	0.18	0.16	-0.03	0.138	0.293	(B) WHITE
KLK3	19q13.33	0.55	0.53	0.15	0.12	0.03	0.138	0.293	(A) BLACK OR AFRICAN AMERICAN
GPNMB	7p15.3	0.40	0.45	0.22	0.22	-0.04	0.138	0.293	(B) WHITE
ATP5IF1	1p35.3	0.06	0.06	0.03	0.02	0.01	0.138	0.293	(A) BLACK OR AFRICAN AMERICAN
MSANTD4	11q22.3	0.06	0.08	0.09	0.11	-0.02	0.138	0.294	(B) WHITE
FASTKD1	2q31.1	0.05	0.06	0.02	0.04	-0.00	0.139	0.294	(B) WHITE
TXNDC11	16p13.13	0.03	0.03	0.01	0.01	0.00	0.139	0.294	(A) BLACK OR AFRICAN AMERICAN
APBB2	4p14-p13	0.27	0.23	0.17	0.14	0.03	0.139	0.294	(A) BLACK OR AFRICAN AMERICAN
ABHD4	14q11.2	0.03	0.03	0.01	0.01	0.00	0.139	0.294	(A) BLACK OR AFRICAN AMERICAN
ALDOA	16p11.2	0.70	0.68	0.13	0.14	0.02	0.139	0.294	(A) BLACK OR AFRICAN AMERICAN
DVL3	3q27.1	0.08	0.09	0.03	0.03	-0.00	0.139	0.294	(B) WHITE
SCN8A	12q13.13	0.10	0.12	0.09	0.12	-0.02	0.139	0.294	(B) WHITE
RPL11	1p36.11	0.03	0.03	0.01	0.02	-0.00	0.139	0.295	(B) WHITE
ANXA2P3	10q21.3	0.66	0.63	0.19	0.18	0.04	0.139	0.295	(A) BLACK OR AFRICAN AMERICAN
IRF2BP1	19q13.32	0.03	0.03	0.02	0.04	-0.00	0.139	0.295	(B) WHITE
ADORA2A	22q11.23	0.85	0.86	0.08	0.07	-0.01	0.139	0.295	(B) WHITE
LRRC10B	11q12.2	0.72	0.75	0.18	0.16	-0.03	0.139	0.295	(B) WHITE
KIF18A	11p14.1	0.01	0.01	0.00	0.00	0.00	0.139	0.295	(A) BLACK OR AFRICAN AMERICAN
PHF21B	22q13.31	0.10	0.07	0.18	0.13	0.03	0.139	0.295	(A) BLACK OR AFRICAN AMERICAN
HIP1R	12q24.31	0.52	0.49	0.17	0.16	0.03	0.139	0.295	(A) BLACK OR AFRICAN AMERICAN
HLX	1q41	0.63	0.66	0.18	0.17	-0.03	0.139	0.295	(B) WHITE
SH2B2	7q22.1	0.83	0.85	0.07	0.06	-0.01	0.139	0.295	(B) WHITE
GCKR	2p23.3	0.26	0.23	0.16	0.13	0.03	0.139	0.295	(A) BLACK OR AFRICAN AMERICAN
RAB11FIP5	2p13.2	0.84	0.82	0.11	0.10	0.02	0.139	0.295	(A) BLACK OR AFRICAN AMERICAN
NPPC	2q37.1	0.03	0.04	0.04	0.07	-0.01	0.140	0.295	(B) WHITE
GFI1	1p22.1	0.84	0.85	0.09	0.09	-0.02	0.140	0.295	(B) WHITE
PPAN-P2RY11	19p13.2	0.08	0.07	0.02	0.02	0.00	0.140	0.295	(A) BLACK OR AFRICAN AMERICAN
CLDN10	13q32.1	0.30	0.26	0.23	0.23	0.04	0.140	0.296	(A) BLACK OR AFRICAN AMERICAN
FAM234A	16p13.3	0.04	0.03	0.01	0.01	0.00	0.140	0.296	(A) BLACK OR AFRICAN AMERICAN
HMGCS1	5p12	0.73	0.76	0.16	0.14	-0.03	0.140	0.296	(B) WHITE
PHYH	10p13	0.22	0.20	0.12	0.12	0.02	0.140	0.296	(A) BLACK OR AFRICAN AMERICAN
EN2	7q36.3	0.26	0.30	0.22	0.23	-0.04	0.140	0.296	(B) WHITE
HAPLN1	5q14.3	0.82	0.85	0.14	0.10	-0.03	0.140	0.296	(B) WHITE
PCIF1	20q13.12	0.03	0.03	0.01	0.01	-0.00	0.140	0.296	(B) WHITE
ADAMTS5	21q21.3	0.77	0.74	0.17	0.17	0.03	0.140	0.296	(A) BLACK OR AFRICAN AMERICAN
FSD1	19p13.3	0.15	0.19	0.18	0.20	-0.03	0.140	0.296	(B) WHITE
TXK	4p12	0.88	0.90	0.08	0.07	-0.01	0.140	0.296	(B) WHITE
FYB2	1p32.2	0.35	0.32	0.12	0.12	0.02	0.140	0.296	(A) BLACK OR AFRICAN AMERICAN
RFK	9q21.13	0.02	0.02	0.01	0.00	0.00	0.140	0.296	(A) BLACK OR AFRICAN AMERICAN
CC2D2A	4p15.32	0.11	0.09	0.10	0.07	0.02	0.140	0.296	(A) BLACK OR AFRICAN AMERICAN
RAB27A	15q21.3	0.83	0.84	0.09	0.08	-0.02	0.140	0.297	(B) WHITE
TTC21B	2q24.3	0.86	0.84	0.13	0.14	0.02	0.140	0.297	(A) BLACK OR AFRICAN AMERICAN
TRIM52	5q35.3	0.04	0.05	0.01	0.03	-0.00	0.140	0.297	(B) WHITE
SPRN	10q26.3	0.60	0.62	0.11	0.12	-0.02	0.141	0.297	(B) WHITE
ROMO1	20q11.22	0.03	0.03	0.01	0.01	-0.00	0.141	0.297	(B) WHITE
CATSPERE	1q44	0.25	0.23	0.13	0.12	0.02	0.141	0.297	(A) BLACK OR AFRICAN AMERICAN
LZTR1	22q11.21|22q11.1-q11.2	0.93	0.93	0.03	0.03	-0.01	0.141	0.297	(B) WHITE
KAZALD1	10q24.31	0.53	0.56	0.17	0.17	-0.03	0.141	0.297	(B) WHITE
LARP1B	4q28.2	0.02	0.02	0.00	0.00	0.00	0.141	0.297	(A) BLACK OR AFRICAN AMERICAN
GPS2	17p13.1	0.31	0.29	0.11	0.10	0.02	0.141	0.297	(A) BLACK OR AFRICAN AMERICAN
TAFA5	22q13.32	0.32	0.28	0.22	0.21	0.04	0.141	0.297	(A) BLACK OR AFRICAN AMERICAN
SSR3	3q25.31	0.70	0.74	0.17	0.16	-0.03	0.141	0.297	(B) WHITE
INF2	14q32.33	0.76	0.77	0.05	0.05	-0.01	0.141	0.297	(B) WHITE
NME5	5q31.2	0.27	0.24	0.17	0.15	0.03	0.141	0.297	(A) BLACK OR AFRICAN AMERICAN
IWS1	2q14.3	0.67	0.69	0.16	0.12	-0.03	0.141	0.297	(B) WHITE
FAM151B	5q14.1	0.05	0.05	0.02	0.02	0.00	0.141	0.297	(A) BLACK OR AFRICAN AMERICAN
ZFP37	9q32	0.17	0.20	0.16	0.17	-0.03	0.141	0.297	(B) WHITE
PAPSS1	4q25	0.91	0.92	0.07	0.05	-0.01	0.141	0.298	(B) WHITE
TBC1D3B	17q12	0.42	0.44	0.08	0.07	-0.01	0.141	0.298	(B) WHITE
CASP5	11q22.3	0.71	0.74	0.15	0.15	-0.03	0.141	0.298	(B) WHITE
SIGLEC8	19q13.41	0.50	0.53	0.16	0.14	-0.03	0.141	0.298	(B) WHITE
INS-IGF2	11p15.5	0.39	0.35	0.19	0.21	0.04	0.141	0.298	(A) BLACK OR AFRICAN AMERICAN
VWC2	7p12.2	0.11	0.12	0.06	0.08	-0.01	0.141	0.298	(B) WHITE
ADGRL4	1p31.1	0.81	0.79	0.10	0.11	0.02	0.141	0.298	(A) BLACK OR AFRICAN AMERICAN
TFEC	7q31.2	0.76	0.79	0.20	0.16	-0.04	0.142	0.298	(B) WHITE
RPP25L	9p13.3	0.04	0.04	0.01	0.03	-0.00	0.142	0.298	(B) WHITE
ADAM10	15q21.3	0.02	0.02	0.00	0.01	0.00	0.142	0.299	(A) BLACK OR AFRICAN AMERICAN
NDUFB10	16p13.3	0.05	0.05	0.02	0.02	0.00	0.142	0.299	(A) BLACK OR AFRICAN AMERICAN
DRAM1	12q23.2	0.33	0.36	0.16	0.16	-0.03	0.142	0.299	(B) WHITE
CD22	19q13.12	0.68	0.70	0.14	0.11	-0.03	0.142	0.299	(B) WHITE
AGAP5	10q22.2	0.83	0.81	0.09	0.10	0.02	0.142	0.299	(A) BLACK OR AFRICAN AMERICAN
SLC37A4	11q23.3	0.02	0.02	0.00	0.01	0.00	0.142	0.299	(A) BLACK OR AFRICAN AMERICAN
OAS2	12q24.13	0.30	0.34	0.21	0.23	-0.04	0.142	0.300	(B) WHITE
CDC23	5q31.2	0.04	0.04	0.02	0.01	0.00	0.143	0.300	(A) BLACK OR AFRICAN AMERICAN
B3GNT7	2q37.1|2q37.1	0.52	0.56	0.20	0.18	-0.04	0.143	0.300	(B) WHITE
PLEKHH2	2p21	0.18	0.22	0.21	0.21	-0.04	0.143	0.300	(B) WHITE
DPH7	9q34.3	0.92	0.93	0.04	0.03	-0.01	0.143	0.300	(B) WHITE
CDC20B	5q11.2	0.25	0.24	0.08	0.08	0.01	0.143	0.300	(A) BLACK OR AFRICAN AMERICAN
RMDN3	15q15.1	0.02	0.02	0.00	0.00	0.00	0.143	0.300	(A) BLACK OR AFRICAN AMERICAN
CCDC3	10p13	0.11	0.14	0.16	0.16	-0.03	0.143	0.300	(B) WHITE
SEPHS2	16p11.2	0.81	0.78	0.17	0.19	0.03	0.143	0.300	(A) BLACK OR AFRICAN AMERICAN
ZSCAN16	6p22.1	0.07	0.07	0.02	0.04	-0.00	0.143	0.300	(B) WHITE
SGMS2	4q25	0.69	0.71	0.12	0.12	-0.02	0.143	0.300	(B) WHITE
MOB4	2q33.1	0.02	0.02	0.00	0.00	0.00	0.143	0.300	(A) BLACK OR AFRICAN AMERICAN
ZNF518B	4p16.1	0.07	0.09	0.10	0.12	-0.02	0.143	0.300	(B) WHITE
MARS	12q13.3	0.61	0.64	0.17	0.16	-0.03	0.143	0.300	(B) WHITE
LTO1	11q13.3	0.92	0.93	0.07	0.03	-0.01	0.143	0.301	(B) WHITE
AEBP2	12p12.3	0.06	0.05	0.02	0.02	0.00	0.143	0.301	(A) BLACK OR AFRICAN AMERICAN
NANOS3	19p13.12	0.89	0.92	0.15	0.13	-0.03	0.143	0.301	(B) WHITE
ACLY	17q21.2	0.48	0.45	0.19	0.17	0.03	0.143	0.301	(A) BLACK OR AFRICAN AMERICAN
SUMO3	21q22.3	0.78	0.79	0.05	0.05	-0.01	0.143	0.301	(B) WHITE
CERS1	19p13.11	0.07	0.08	0.03	0.06	-0.01	0.143	0.301	(B) WHITE
KLHL17	1p36.33	0.91	0.92	0.04	0.03	-0.01	0.143	0.301	(B) WHITE
PHC2	1p35.1	0.73	0.75	0.09	0.10	-0.02	0.143	0.301	(B) WHITE
CSF1R	5q32	0.58	0.62	0.19	0.17	-0.03	0.143	0.301	(B) WHITE
LIPT2	11q13.4	0.02	0.02	0.01	0.01	0.00	0.144	0.301	(A) BLACK OR AFRICAN AMERICAN
PPP6C	9q33.3	0.81	0.83	0.11	0.08	-0.02	0.144	0.301	(B) WHITE
EEF1AKMT2	10q26.13	0.03	0.03	0.01	0.01	0.00	0.144	0.301	(A) BLACK OR AFRICAN AMERICAN
CFAP77	9q34.13	0.87	0.89	0.10	0.05	-0.02	0.144	0.301	(B) WHITE
CLDN7	17p13.1	0.74	0.71	0.14	0.16	0.03	0.144	0.301	(A) BLACK OR AFRICAN AMERICAN
GAP43	3q13.31	0.74	0.76	0.10	0.09	-0.02	0.144	0.301	(B) WHITE
SELENOW	19q13.33	0.03	0.04	0.02	0.03	-0.00	0.144	0.301	(B) WHITE
SLC24A2	9p22.1-p21.3	0.67	0.63	0.23	0.22	0.04	0.144	0.301	(A) BLACK OR AFRICAN AMERICAN
ADIPOQ	3q27.3	0.86	0.87	0.10	0.06	-0.02	0.144	0.301	(B) WHITE
KHDC1	6q13	0.09	0.10	0.06	0.07	-0.01	0.144	0.301	(B) WHITE
USP10	16q24.1	0.32	0.34	0.13	0.13	-0.02	0.144	0.301	(B) WHITE
ZMYND10	3p21.31	0.31	0.29	0.12	0.12	0.02	0.144	0.301	(A) BLACK OR AFRICAN AMERICAN
PRMT5	14q11.2	0.02	0.02	0.00	0.01	0.00	0.144	0.302	(A) BLACK OR AFRICAN AMERICAN
PHACTR1	6p24.1	0.63	0.59	0.24	0.25	0.04	0.144	0.302	(A) BLACK OR AFRICAN AMERICAN
FANCL	2p16.1	0.02	0.02	0.00	0.00	-0.00	0.144	0.302	(B) WHITE
SEC23IP	10q26.11-q26.12	0.02	0.01	0.00	0.00	0.00	0.144	0.302	(A) BLACK OR AFRICAN AMERICAN
EPHX3	19p13.12	0.58	0.60	0.15	0.12	-0.03	0.144	0.302	(B) WHITE
ZNF708	19p12	0.09	0.09	0.04	0.04	0.01	0.144	0.302	(A) BLACK OR AFRICAN AMERICAN
AGMAT	1p36.21	0.25	0.29	0.19	0.20	-0.04	0.145	0.302	(B) WHITE
CD1E	1q23.1	0.08	0.06	0.09	0.08	0.02	0.145	0.302	(A) BLACK OR AFRICAN AMERICAN
GOT1	10q24.2	0.50	0.54	0.19	0.18	-0.04	0.145	0.302	(B) WHITE
NBEAL1	2q33.2	0.02	0.02	0.01	0.01	-0.00	0.145	0.302	(B) WHITE
PMM2	16p13.2	0.84	0.85	0.03	0.03	-0.01	0.145	0.303	(B) WHITE
RAC1	7p22.1	0.86	0.87	0.06	0.06	-0.01	0.145	0.303	(B) WHITE
CRP	1q23.2	0.35	0.31	0.19	0.18	0.04	0.145	0.303	(A) BLACK OR AFRICAN AMERICAN
CLIC5	6p21.1	0.63	0.67	0.20	0.18	-0.04	0.145	0.303	(B) WHITE
FBXO10	9p13.2	0.89	0.91	0.08	0.05	-0.01	0.145	0.303	(B) WHITE
MRTO4	1p36.13	0.01	0.01	0.00	0.00	0.00	0.145	0.303	(A) BLACK OR AFRICAN AMERICAN
RAB3IL1	11q12.2-q12.3	0.85	0.86	0.09	0.06	-0.02	0.145	0.303	(B) WHITE
HCN1	5p12	0.69	0.73	0.22	0.19	-0.04	0.145	0.303	(B) WHITE
UTP4	16q22.1	0.60	0.62	0.12	0.12	-0.02	0.145	0.303	(B) WHITE
IFIT5	10q23.31	0.65	0.67	0.14	0.14	-0.03	0.145	0.303	(B) WHITE
ZNF562	19p13.2	0.06	0.04	0.09	0.03	0.02	0.145	0.303	(A) BLACK OR AFRICAN AMERICAN
CRCP	7q11.21	0.02	0.03	0.01	0.01	-0.00	0.145	0.303	(B) WHITE
GAB2	11q14.1	0.12	0.14	0.10	0.13	-0.02	0.145	0.304	(B) WHITE
AP2A2	11p15.5	0.90	0.91	0.05	0.04	-0.01	0.146	0.304	(B) WHITE
VCL	10q22.2	0.88	0.87	0.06	0.07	0.01	0.146	0.304	(A) BLACK OR AFRICAN AMERICAN
SCAPER	15q24.3	0.69	0.66	0.18	0.16	0.03	0.146	0.304	(A) BLACK OR AFRICAN AMERICAN
PCP4L1	1q23.3	0.12	0.10	0.12	0.08	0.02	0.146	0.304	(A) BLACK OR AFRICAN AMERICAN
OSM	22q12.2	0.66	0.69	0.12	0.12	-0.02	0.146	0.304	(B) WHITE
AKAP8	19p13.12	0.02	0.02	0.00	0.00	-0.00	0.146	0.304	(B) WHITE
P2RX2	12q24.33	0.21	0.18	0.16	0.13	0.03	0.146	0.304	(A) BLACK OR AFRICAN AMERICAN
NMNAT2	1q25.3	0.17	0.20	0.18	0.19	-0.03	0.146	0.304	(B) WHITE
GOLGA8B	15q14	0.07	0.09	0.10	0.14	-0.02	0.146	0.304	(B) WHITE
FLJ30679	16q24.1	0.01	0.01	0.00	0.01	-0.00	0.146	0.304	(B) WHITE
SLC38A1	12q13.11	0.57	0.52	0.22	0.20	0.04	0.146	0.304	(A) BLACK OR AFRICAN AMERICAN
KCTD14	11q14.1	0.50	0.54	0.21	0.23	-0.04	0.146	0.304	(B) WHITE
S100Z	5q13.3	0.44	0.47	0.17	0.17	-0.03	0.146	0.304	(B) WHITE
ZNF112	19q13.31	0.22	0.19	0.13	0.10	0.02	0.146	0.304	(A) BLACK OR AFRICAN AMERICAN
ASTE1	3q22.1	0.02	0.02	0.00	0.04	-0.00	0.146	0.304	(B) WHITE
BLNK	10q24.1	0.56	0.52	0.20	0.17	0.04	0.146	0.304	(A) BLACK OR AFRICAN AMERICAN
MEPE	4q22.1	0.92	0.93	0.05	0.03	-0.01	0.146	0.305	(B) WHITE
HIPK4	19q13.2	0.74	0.72	0.11	0.11	0.02	0.146	0.305	(A) BLACK OR AFRICAN AMERICAN
CENPB	20p13	0.02	0.02	0.00	0.00	-0.00	0.147	0.305	(B) WHITE
NDUFB7	19p13.12	0.04	0.04	0.01	0.01	-0.00	0.147	0.305	(B) WHITE
FLJ12825	12q13.13	0.94	0.93	0.03	0.06	0.01	0.147	0.305	(A) BLACK OR AFRICAN AMERICAN
CENPM	22q13.2	0.07	0.08	0.03	0.03	-0.01	0.147	0.305	(B) WHITE
HES5	1p36.32	0.27	0.31	0.20	0.18	-0.04	0.147	0.305	(B) WHITE
NUDT16L1	16p13.3	0.46	0.44	0.12	0.12	0.02	0.147	0.306	(A) BLACK OR AFRICAN AMERICAN
ADAMTS18	16q23.1	0.25	0.22	0.16	0.16	0.03	0.147	0.306	(A) BLACK OR AFRICAN AMERICAN
LSS	21q22.3	0.64	0.68	0.20	0.18	-0.04	0.147	0.306	(B) WHITE
BCL9	1q21.2	0.02	0.02	0.00	0.02	-0.00	0.147	0.306	(B) WHITE
TCTA	3p21.31	0.21	0.20	0.08	0.07	0.01	0.147	0.306	(A) BLACK OR AFRICAN AMERICAN
TFG	3q12.2	0.02	0.02	0.00	0.00	0.00	0.147	0.306	(A) BLACK OR AFRICAN AMERICAN
ICK	6p12.1	0.04	0.04	0.01	0.01	0.00	0.147	0.306	(A) BLACK OR AFRICAN AMERICAN
PBXIP1	1q21.3	0.83	0.84	0.05	0.06	-0.01	0.147	0.306	(B) WHITE
TRPT1	11q13.1	0.04	0.04	0.02	0.02	-0.00	0.147	0.306	(B) WHITE
TCEA2	20q13.33	0.43	0.41	0.15	0.15	0.03	0.148	0.306	(A) BLACK OR AFRICAN AMERICAN
CYP4F29P	21q11.2	0.69	0.71	0.12	0.11	-0.02	0.148	0.307	(B) WHITE
PRMT1	19q13.33	0.02	0.02	0.00	0.00	-0.00	0.148	0.307	(B) WHITE
AICDA	12p13.31	0.91	0.93	0.11	0.06	-0.02	0.148	0.307	(B) WHITE
KLHL5	4p14	0.73	0.76	0.16	0.12	-0.03	0.148	0.307	(B) WHITE
LMTK3	19q13.33	0.58	0.55	0.16	0.17	0.03	0.148	0.307	(A) BLACK OR AFRICAN AMERICAN
NIPBL	5p13.2	0.03	0.03	0.01	0.01	0.00	0.148	0.307	(A) BLACK OR AFRICAN AMERICAN
EIF3J	15q21.1	0.52	0.48	0.18	0.16	0.03	0.148	0.307	(A) BLACK OR AFRICAN AMERICAN
CDIP1	16p13.3	0.43	0.47	0.23	0.23	-0.04	0.148	0.307	(B) WHITE
CALML6	1p36.33	0.86	0.87	0.05	0.04	-0.01	0.148	0.307	(B) WHITE
SLC26A3	7q22.3-q31.1	0.89	0.91	0.10	0.05	-0.02	0.148	0.307	(B) WHITE
ZNF680	7q11.21	0.34	0.32	0.07	0.06	0.01	0.148	0.307	(A) BLACK OR AFRICAN AMERICAN
PFN2	3q25.1	0.49	0.54	0.24	0.26	-0.05	0.148	0.307	(B) WHITE
DDOST	1p36.12	0.92	0.92	0.04	0.03	-0.01	0.148	0.307	(B) WHITE
MSRB2	10p12.2	0.44	0.47	0.19	0.20	-0.04	0.148	0.307	(B) WHITE
C12ORF54	12q13.11	0.87	0.84	0.15	0.16	0.03	0.148	0.307	(A) BLACK OR AFRICAN AMERICAN
CSF2RB	22q12.3	0.87	0.88	0.06	0.07	-0.01	0.148	0.308	(B) WHITE
SARM1	17q11.2	0.38	0.42	0.19	0.21	-0.04	0.149	0.308	(B) WHITE
ASB14	3p14.3	0.85	0.83	0.10	0.12	0.02	0.149	0.308	(A) BLACK OR AFRICAN AMERICAN
OLFM4	13q14.3	0.74	0.77	0.16	0.14	-0.03	0.149	0.308	(B) WHITE
ZHX2	8q24.13	0.19	0.16	0.15	0.11	0.03	0.149	0.308	(A) BLACK OR AFRICAN AMERICAN
DNAJC16	1p36.21	0.02	0.02	0.01	0.02	0.00	0.149	0.308	(A) BLACK OR AFRICAN AMERICAN
ZNF2	2q11.1	0.06	0.07	0.02	0.03	-0.00	0.149	0.308	(B) WHITE
BRINP1	9q33.1	0.30	0.33	0.16	0.16	-0.03	0.149	0.308	(B) WHITE
ANKRD7	7q31.31	0.94	0.97	0.13	0.08	-0.02	0.149	0.308	(B) WHITE
C4A	6p21.33	0.80	0.78	0.08	0.10	0.01	0.149	0.308	(A) BLACK OR AFRICAN AMERICAN
HERPUD2	7p14.2	0.02	0.02	0.00	0.00	0.00	0.149	0.308	(A) BLACK OR AFRICAN AMERICAN
TMEM129	4p16.3	0.46	0.43	0.16	0.15	0.03	0.149	0.308	(A) BLACK OR AFRICAN AMERICAN
CCDC184	12q13.11	0.10	0.11	0.07	0.07	-0.01	0.149	0.308	(B) WHITE
GPBAR1	2q35	0.83	0.81	0.07	0.07	0.01	0.149	0.308	(A) BLACK OR AFRICAN AMERICAN
ENKUR	10p12.1	0.01	0.01	0.00	0.02	-0.00	0.149	0.308	(B) WHITE
SLC47A2	17p11.2	0.74	0.76	0.09	0.08	-0.02	0.149	0.309	(B) WHITE
FAM189A1	15q13.1	0.12	0.14	0.13	0.15	-0.02	0.149	0.309	(B) WHITE
LINC00323	21q22.2	0.58	0.54	0.21	0.18	0.04	0.149	0.309	(A) BLACK OR AFRICAN AMERICAN
PIN1	19p13.2	0.03	0.03	0.01	0.01	-0.00	0.149	0.309	(B) WHITE
LINGO2	9p21.2-p21.1	0.79	0.83	0.19	0.15	-0.03	0.149	0.309	(B) WHITE
SPTLC2	14q24.3	0.02	0.02	0.01	0.01	0.00	0.149	0.309	(A) BLACK OR AFRICAN AMERICAN
ACSM1	16p12.3	0.91	0.92	0.09	0.03	-0.02	0.149	0.309	(B) WHITE
SLC7A7	14q11.2	0.79	0.81	0.12	0.09	-0.02	0.150	0.309	(B) WHITE
KLHL11	17q21.2	0.02	0.02	0.00	0.01	0.00	0.150	0.309	(A) BLACK OR AFRICAN AMERICAN
CBLN3	14q12	0.11	0.09	0.11	0.08	0.02	0.150	0.309	(A) BLACK OR AFRICAN AMERICAN
SMIM3	5q33.1	0.83	0.81	0.09	0.10	0.02	0.150	0.309	(A) BLACK OR AFRICAN AMERICAN
TUBB7P	4q35.2	0.63	0.61	0.12	0.10	0.02	0.150	0.309	(A) BLACK OR AFRICAN AMERICAN
DDX39A	19p13.12	0.03	0.04	0.01	0.01	-0.00	0.150	0.309	(B) WHITE
SLC27A1	19p13.11	0.91	0.92	0.02	0.03	-0.00	0.150	0.309	(B) WHITE
SMARCB1	22q11.23|22q11	0.87	0.86	0.03	0.05	0.01	0.150	0.309	(A) BLACK OR AFRICAN AMERICAN
JUP	17q21.2	0.45	0.42	0.13	0.12	0.02	0.150	0.309	(A) BLACK OR AFRICAN AMERICAN
PEX7	6q23.3	0.21	0.18	0.15	0.14	0.03	0.150	0.309	(A) BLACK OR AFRICAN AMERICAN
BICD1	12p11.21	0.10	0.12	0.10	0.10	-0.02	0.150	0.309	(B) WHITE
MUC5B	11p15.5	0.42	0.40	0.14	0.12	0.02	0.150	0.309	(A) BLACK OR AFRICAN AMERICAN
B3GALT2	1q31.2	0.85	0.88	0.14	0.10	-0.02	0.150	0.309	(B) WHITE
LCP2	5q35.1	0.49	0.51	0.14	0.14	-0.03	0.150	0.309	(B) WHITE
MRM3	17p13.3	0.02	0.02	0.00	0.02	-0.00	0.150	0.309	(B) WHITE
SLC13A5	17p13.1	0.32	0.36	0.21	0.21	-0.04	0.150	0.310	(B) WHITE
