Gene	Cytoband	(A) BLACK OR AFRICAN AMERICAN	(B) WHITE	(A) BLACK OR AFRICAN AMERICAN	(B) WHITE	Log Ratio	p-Value	q-Value	Higher methylation in
FMN1	15q13.3	0.68	0.58	0.16	0.18	0.10	7.273e-6	6.610e-4	(A) BLACK OR AFRICAN AMERICAN
IDO1	8p11.21	0.45	0.63	0.30	0.23	-0.18	7.277e-6	6.610e-4	(B) WHITE
NUP85	17q25.1	0.85	0.88	0.04	0.04	-0.03	7.280e-6	6.610e-4	(B) WHITE
TMEM25	11q23.3	0.67	0.55	0.21	0.19	0.12	7.304e-6	6.610e-4	(A) BLACK OR AFRICAN AMERICAN
ZSCAN2	15q25.2	0.68	0.53	0.26	0.23	0.15	7.423e-6	6.669e-4	(A) BLACK OR AFRICAN AMERICAN
MEX3C	18q21.2	0.42	0.53	0.18	0.21	-0.11	7.499e-6	6.669e-4	(B) WHITE
ASIC4	2q35	0.68	0.79	0.19	0.11	-0.11	7.500e-6	6.669e-4	(B) WHITE
POPDC3	6q21	0.11	0.14	0.05	0.08	-0.03	7.606e-6	6.723e-4	(B) WHITE
ZNF430	19p12	0.53	0.49	0.07	0.08	0.04	7.683e-6	6.753e-4	(A) BLACK OR AFRICAN AMERICAN
CSF3	17q21.1	0.14	0.19	0.08	0.10	-0.05	7.860e-6	6.868e-4	(B) WHITE
ZNHIT1	7q22.1	0.03	0.04	0.01	0.03	-0.01	8.414e-6	7.281e-4	(B) WHITE
DNMT3B	20q11.21	0.67	0.75	0.14	0.09	-0.08	8.427e-6	7.281e-4	(B) WHITE
MAML3	4q31.1	0.45	0.28	0.28	0.21	0.16	8.733e-6	7.503e-4	(A) BLACK OR AFRICAN AMERICAN
RERE	1p36.23	0.69	0.58	0.18	0.19	0.11	8.793e-6	7.512e-4	(A) BLACK OR AFRICAN AMERICAN
RSPO3	6q22.33	0.61	0.72	0.20	0.15	-0.11	8.856e-6	7.513e-4	(B) WHITE
EVA1B	1p34.3	0.55	0.44	0.19	0.22	0.11	8.924e-6	7.513e-4	(A) BLACK OR AFRICAN AMERICAN
PTPRG	3p14.2	0.64	0.49	0.25	0.20	0.15	8.941e-6	7.513e-4	(A) BLACK OR AFRICAN AMERICAN
NFKB2	10q24.32	0.83	0.88	0.08	0.06	-0.05	9.180e-6	7.641e-4	(B) WHITE
OBSCN	1q42.13	0.76	0.79	0.05	0.06	-0.03	9.193e-6	7.641e-4	(B) WHITE
EMC8	16q24.1	0.71	0.82	0.19	0.12	-0.11	9.369e-6	7.710e-4	(B) WHITE
NEURL4	17p13.1	0.91	0.92	0.02	0.02	-0.01	9.398e-6	7.710e-4	(B) WHITE
EWSAT1	15q23	0.58	0.45	0.22	0.18	0.13	9.472e-6	7.710e-4	(A) BLACK OR AFRICAN AMERICAN
AFAP1L1	5q32	0.69	0.81	0.21	0.14	-0.12	9.478e-6	7.710e-4	(B) WHITE
RPAP3	12q13.11	0.05	0.04	0.02	0.02	0.01	9.612e-6	7.777e-4	(A) BLACK OR AFRICAN AMERICAN
DUSP16	12p13.2	0.74	0.61	0.21	0.22	0.13	9.772e-6	7.866e-4	(A) BLACK OR AFRICAN AMERICAN
